Statement,Category,Ground_Truth
"Biden is only 21st-century president with no troop deaths this decade.",Politics,true
"Trump misstates pandemic job losses as Biden failures.",Economy,false
"Disinfectant claim was phrased as question by Trump.",Health,true
"Semiconductor jobs do pay over $100k, but depend on position.",Economy,true
"PolitiFact: Biden's semicon claim mostly true; context matters.",Economy,true
"72 % of people detained by ICE had no criminal conviction or charges.",Law,true
"The claim that over 72 % had zero record is misleading; true figure ~47 %.",Law,false
"Trump said U.S. manufacturing jobs are best of 40 years; partly true data supports modest gains.",Economy,true
"Trump claimed most young Black people are unemployed (~59 %); actual ~18.7 %.",Economy,false
"Trade deficit with China was claimed as $500 bn annually; in reality < $400 bn.",Economy,false
"Biden said semiconductor jobs pay ~110 000 USD; PolitiFact rated 'barely‑true'.",Economy,false
"TSMC plans a $100 bn US investment as announced by Trump.",Economy,true
"CHIPS Act authorized $280 bn funding; includes $39 bn subsidies.",Government,true
"CHIPS Act spurred 25–50 projects worth $160–200 bn.",Economy,true
"Some CHIPS Act jobs cost ~$185 000 per position – double average salary.",Economy,true
"Trump credited for manufacturing jobs gain; PolitiFact says it's murky.",Economy,true
"Trump falsely claimed tariffs eliminated regulations to Great Depression levels.",Economy,false
"PolitiFact: Biden's semiconductor investment claim 'mostly true'.",Economy,true
"ICE misinformation about criminal records debunked by DHS release.",Law,true
"ICE does arrest individuals without warrants for immigration violations.",Law,true
"Trump claimed disinfectant injection could cure COVID‑19; false.",Health,false
"Trump stated Clinton coined 'super predator' term; true, she did.",History,true
"Claim that Amazon pays no taxes is false; Politifact debunks.",Economy,false
"Trump said remittances are Mexico’s main income; false, trade is bigger.",Economy,false
"Stephen Miller claimed immigration lowers wages; studies dispute it.",Economy,false
"PolitiFact: manufacturing jobs under Biden grew, but began under Trump.",Economy,true
"Claim: 72 % ICE detainees had no record; true per agency data review.",Law,true
"TSMC investment includes 3 fabs + 2 packaging plants in Arizona.",Economy,true
"TSMC already invested $65 bn before announcing another $100 bn.",Economy,true
"Trump misstates semiconductor strategy; tariffs vs subsidies conflicting.",Economy,true
"TSMC’s Arizona fab uses 4-nm chip production, first in US.",Technology,true
"Workers needed for CHIPS Act fabs: about 300 000 extra skilled workers.",Economy,true
"Fabrication cost in US 50 % higher than Taiwan per reports.",Economy,true
"Delays in CHIPS Act projects due to labor shortage and red tape.",Economy,true
"Intel announced up to $100 bn investment in Ohio fabs under CHIPS Act.",Economy,true
"Samsung announced $17 bn chip factory in Texas in 2021.",Economy,true
"GlobalFoundries announced $1 bn fab in NY in July 2021.",Economy,true
"Micron $20 bn fab expected to reach $100 bn over 20 years.",Economy,true
"Wolfspeed to build Silicon Carbide fab in NC under CHIPS Act.",Economy,true
"Texas Instruments $11 bn wafer fab in Utah under CHIPS Act.",Economy,true
"Bosch acquired TSI Semiconductors and invested $1.5 bn in CA.",Economy,true
"Amkor plans $2 bn chip packaging facility in AZ under CHIPS Act.",Economy,true
"Samsung received $6.4 bn grants for Texas fab under CHIPS Act.",Economy,true
"Micron received $6.1 bn grant for fab in Idaho and NY.",Economy,true
"Polar Semiconductor to build fab in Minnesota with $120 m CHIPS funding.",Economy,true
"SK Group to build glass wafer plant in Georgia with $75 m funding.",Economy,true
"Rocket Lab to expand solar cell production in New Mexico with $23.9 m.",Economy,true
"Hemlock Semiconductor $325 m award for polysilicon factory in Michigan.",Economy,true
"CHIPS Act catalyzed over $200 bn private investment by Dec 2022.",Economy,true
"By Jan 2025, CHIPS + IRA + IIJA triggered $1 trillion in public/private investment.",Economy,true
"Arizona to host largest per-state CHIPS investment: $97.5 bn + 11 000 jobs.",Economy,true
"30% of new CHIPS jobs require 4‑year degrees; 40% require 2‑year technician diplomas.",Economy,true
"Some projects delayed from 2026 to 2028 per TSMC reports.",Economy,true
"Arizona fab saw 4–5× higher costs than Taiwan, per TSMC.",Economy,true
"Workforce training provision included in CHIPS Act to address skills gap.",Economy,true
"In June 2025, 72% of ICE detainees had no criminal conviction.",Law,true
"That 72% figure is misleading; actual share ~47% when including dismissals.",Law,false
"Non-criminal ICE arrests spiked in June, accounting for 47% of arrests.",Law,true
"ICE detained hundreds without charges in ‘Alligator Alcatraz’ facility.",Law,true
"Government data shows 71.7% of those arrested by ICE had no convictions.",Law,true
"Trump pledged to deport only violent criminals, but 71.7% were non‑convicted.",Law,false
"New ICE quotas tripled daily arrests to 3,000 per day in June.",Law,true
"ICE detainee population exceeded facility capacity by 35%.",Law,true
"Albany’s NSTC lab opened, specializing in EUV lithography under CHIPS.",Technology,true
"NSTC houses ASML TWINSCAN EXE:5200B purchased with $1B of state funds.",Technology,true
"CHIPS & Science Act provided $50B to strengthen US semiconductor R&D.",Technology,true
"CHIPS Act allocated $53B, including $39B in direct subsidies.",Technology,true
"CHIPS Act generated over $200B in private investment since enactment.",Economy,true
"By Mar 2024, CHIPS spurred 25–50 projects with $160–200B investment.",Economy,true
"Arizona fab costs 4–5× more than Taiwan–based fabs (TSMC quote).",Economy,true
"CHIPS Act funds included $2B DoD, $500M State Dept, and $1.5B telecom.",Technology,true
"CHIPS Act supports 31 'Tech Hubs' with $10B in implementation grants.",Economy,true
"NSF awarded 2,455 R&D grants; leveraged $8.15B in private capital by 2024.",Science,true
"NIST started $300M Advanced Packaging Program under CHIPS.",Technology,true
"Dept. of Commerce allocated $100M to metrology research projects.",Science,true
"Companies receiving CHIPS funding banned from expanding fabs in China.",Government,true
"CHIPS includes 25% tax credit for advanced semiconductor manufacturing.",Economy,true
"CHIPS Act has provisions limiting judicial review for fab projects.",Government,true
"By Dec 2023, $224B in IRA+CHIPS investments had been catalyzed.",Economy,true
"TSMC fab construction in Arizona delayed from 2026 to 2028.",Economy,true
"TSMC opened second Arizona chip plant in Sep 2024 with $40B spend.",Economy,true
"Intel to invest $20B in Ohio fabs with projected 3,000 jobs.",Economy,true
"Samsung announced a $17B Texas semiconductor factory in 2021.",Economy,true
"GlobalFoundries built $1B fab in New York (July 2021).",Economy,true
"Bosch invested $1.5B in CA silicon carbide chip upgrades.",Economy,true
"Amkor building $2B chip packaging facility in Arizona.",Economy,true
"Micron received $6.1B grant for Idaho & NY fabs.",Economy,true
"Hemlock Semiconductor awarded $325M for polysilicon Michigan factory.",Economy,true
"Rocket Lab expanding solar cell production with $23.9M in NM.",Technology,true
"Tech Hubs funding included $504M for 12 regional hubs (July 2024).",Government,true
"CHIPS Act also funded Artemis & ISS programs via Division C.",Science,true
"Act provided nearly $200B for new scientific research beyond chips.",Science,true
"EU Chips Act aims to raise continent's share to 20% of global capacity.",Economy,true
"EU Chips Act mobilizes €15B+ in public & private investment.",Economy,true
"European Chips Act strengthens supply chain resilience & digital green shift.",Environment,true
"2020–2023 global chip shortage prompted US and EU Chips Acts.",Economy,true
"US passed CHIPS & Science Act on 9 Aug 2022 to revitalize domestic manufacturing.",Government,true
"European Chips Act regulation was established on 13 Sept 2023.",Government,true
"India outlined chip manufacturing plan in Dec 2021 alongside US/EU acts.",Economy,true
"India-US partnership to build national security fab announced Sep 2024.",Technology,true
"US Space Force partnering with India for compound semiconductor fab.",Government,true
"Bharat Semi fab blueprint revealed Sep 21, 2024 during Biden‑Modi meeting.",Technology,true
"Over 11,700 ICE detainees had no criminal record mid‑June 2025.",Law,true
"ICE arrests of non-criminals rose 1271% since Trump’s second term.",Law,true
"ICE facility overcrowding reached 56,000 detainees vs design 41,500.",Law,true
"Trump said he ‘knows nothing’ about Project 2025, despite being linked to it.",Government,false
"Project 2025 advocates for eliminating the National Weather Service.",Environment,false
"Trump claimed his VA Choice program was his doing; actually approved under Obama.",Health,false
"Linda McMahon said 70% of 8th‑graders 'can't read that'; NAEP shows grade‑level proficiency doesn’t mean basic reading.",Education,false
"False claim that Biden had a medical emergency on Air Force One.",Health,false
"Oklahoma high school standards teaching debunked 2020 election fraud theories.",Education,false
"Trump said thousands ushered into Capitol by police on Jan 6.",Politics,false
"Trump claimed he “won youth by 36 points”; data showed much narrower gap.",Politics,false
"Trump overstated conviction protections for pre‑existing conditions via executive order.",Health,false
"Snopes confirms Trump ranted about washing machines myth is false.",Politics,false
"Snopes debunks 2000 Mules ballot‑mule conspiracy in 2022.",Politics,false
"AP Fact Focus confirms Trump misrepresents wind‑power facts.",Environment,false
"Posts misrepresent federal judiciary as secret 'club'.",Government,false
"False claim that Trump’s 'Big Beautiful Bill' lets him delay elections.",Politics,false
"Bidens’ ‘medical emergency’ rumor debunked; no emergency occurred.",Health,false
"Snopes: Oklahoma teaching election‑fraud myths in schools is false.",Education,false
"AP confirms Trump’s VA‑Choice claim misleading—Obama started it.",Health,false
"Project 2025 fully centralises federal authority per Snopes‑PDF.",Government,true
"AP confirms Trump claimed he had 'massive mandate' at Davos; margin was small.",Politics,false
"AP reports wildfires not worsened by CA water policy, despite claims.",Environment,false
"Study did NOT say COVID vaccines caused excess deaths.",Health,false
"99% of COVID deaths were NOT misattributed to other causes.",Health,false
"COVID vaccines not a 'depopulation plan' as claimed.",Health,false
"COVID never caused by radiation poisoning.",Health,false
"Mosquitoes do NOT transmit COVID‑19.",Health,true
"PCR inventor Mullis did NOT say tests don't work for COVID.",Health,false
"5G towers do NOT spread coronavirus.",Technology,false
"Flu drop in 2020‑21 due to COVID precautions, not misclassification.",Health,true
"No evidence Japan found 'nanobots' in vaccinated citizens.",Health,false
"WHO did NOT say monkeypox is side effect of Pfizer vaccine.",Health,false
"UK data on vaccinated children mortality was misleading context.",Health,false
"Pfizer CEO didn't admit pandemic was 'staged rehearsal'.",Health,false
"Reuters: sunscreen claim missing key context, not dangerous.",Health,false
"King Charles didn’t advocate 'no borders' in speech.",Politics,false
"Mosque fire video in Catalonia is actually from Jakarta.",Politics,false
"Photo of drone spying on Netanyahu is digitally altered.",Politics,false
"ECHR didn't legally clear Caster Semenya to compete.",Sports,false
"June 2025 was England's hottest June on record.",Environment,true
"Satellite image isn't of Israeli lab — misattributed.",Politics,false
"Beirut explosion clip miscaptioned as attack on Iran.",Politics,false
"Photos of UK coast don’t disprove sea‑level rise.",Environment,false
"Pandemic vaccine conspiracy debunked by FactCheck.org.",Health,false
"Guardian: Tom Homan’s 600 k illegal immigrants claim misleading.",Politics,false
"Occupy Democrats' photo miscaptioned about Ginni Thomas.",Politics,false
"No proof 156 GOP reps voted to raise retirement age to 70.",Politics,false
"PolitiFact: 'Lie of the Year' 2024 was Haitian immigrants eating pets.",Politics,true
"PolitiFact 'Lie of the Year' selections 2020‑2023 listed.",Politics,true
"FactCheck.org is a nonprofit political fact‑checking site.",Meta,true
"FactCheck.org won multiple awards including Webby in 2010.",Meta,true
"FactCheck.org started in 2003 by Annenberg Public Policy Center.",Meta,true
"Reuters: viral rumor about mosque fire in Catalonia is false.",Politics,false
"Reuters: drone image with Netanyahu is fake.",Politics,false
"Reuters: no evidence WHO pandemic pact overrides sovereignty.",Government,true
"Reuters: no COVID‑19 deaths only occur in hospitals.",Health,false
"Reuters: flu decline due to COVID restrictions, not mislabeling.",Environment,true
"Reuters: no ‘state of emergency’ in Japan over nanobots.",Government,false
"Reuters: BBC did not say 'neutral face implies deepfake'.",Technology,false
"Reuters: satirical weather map misused to deny climate change.",Environment,false
"Reuters: veteran homes vs migrant claim is false.",Politics,false
"Reuters: EU defence deal doesn't limit UK military sovereignty.",Politics,true
"Reuters: WHO treaty leaves policy to national governments.",Government,true
"Reuters: Glastonbury Red Arrows white smoke had context.",Culture,true
"Reuters: mosque fire video miscaptioned for Catalonia.",Politics,false
"FactCheck.org debunked viral election‑fraud myths in schools.",Education,false
"FactCheck.org SciCheck debunks partisan science claims.",Science,true
"FactCheck.org teamed with Meta to debunk viral COVID claims.",Health,true
"Reuters: CNN misrepresented missile attack on Mossad base.",Politics,false
"Reuters: no evidence Iran hit Mossad base.",Politics,true
"Reuters: England’s June 2025 was warmest on record.",Environment,true
"Reuters: Meghan Markle photo miscaptioned as protest image.",Culture,false
"Video from Austria climate demo was miscaptioned as Ukranian crisis actors.",Environment
"Satirical German weather map falsely used to cast doubt on climate change.",Environment
"Images of different weather maps misleadingly compared to deny climate change.",Environment,false
"15‑minute city concept wrongly claimed to be a pretext for lockdowns.",Government,false
"Kremlin lights‑out image from Earth Hour misrepresented as electricity shortages.",Environment,false
"‘Hole’ in ozone layer was real danger, not a hoax—it’s healing due to global action.",Environment,true
"Muslim’s protest at Glastonbury had white smoke flags misused to deny climate change.",Environment,true
"Video of AI‑generated explosion miscaptioned as Iran attack on U.S. air base.",Technology,false
"FactCheck.org SciCheck: weather modification did not cause Texas floods.",Environment,true
"SciCheck: vitamin A remedies for measles are unsupported by evidence.",Health,false
"SciCheck: RFK Jr. downplayed measles outbreak severity in Texas.",Health,false
"SciCheck: RFK Jr.’s vitamin A claims for measles are misleading.",Health,false
"SciCheck: thimerosal in flu vaccines not harmful per CDC.",Health,true
"SciCheck: HHS docs misleading on COVID vaccine safety for children and pregnant people.",Health,false
"SciCheck: RFK Jr.’s CDC panel clean‑sweep justification flawed.",Health,false
"FactCheck.org SciCheck launched Jan 2015 to counter partisan science claims.",Meta,true
"FEMA funds largely support Florida immigrant facility 'Alligator Alcatraz'.",Law,true
"Reuters: ECHR ruling misrepresented as clearing Caster Semenya to compete.",Sports,false
"Reuters: Video of mosque fire was actually from Jakarta, not Catalonia.",Politics,false
"Reuters: King Charles misquoted as calling for ‘no borders’.",Politics,false
"Reuters: drone photo of Netanyahu was digitally edited.",Politics,false
"Reuters: CNN clip misused to suggest Iran hit Mossad base.",Politics,false
"Reuters: veteran homes near Chelsea FC were not converted for migrants.",Politics,false
"June 2025 was England's warmest June on record per Met Office.",Environment,true
"Scenic UK coast photos don’t disprove climate‑induced sea‑level rise.",Environment,false
"Glastonbury Red Arrows smoke colour misrepresented as offense‑avoidance.",Culture,true
"Video of sandstorm was in Saudi Arabia, not Israel.",Environment,false
"Video of bombardment miscaptioned as India‑on‑Pakistan attack.",Politics,false
"Kissinger‑Rockefeller photo misidentified with Pope Francis.",Politics,false
"Starmer photo at Labour donor event was an AI‑generated fake.",Politics,false
"Home Office letter about migrant leisure centre is fake.",Government,false
"Video montages mislabelled Beirut explosion as Iran nuclear attack.",Politics,false
"Satellite image miscaptioned as Israeli lab destruction—real is Iran facility.",Politics,false
"Britain's LGBTQ+ celebration defunding claim missing context.",Politics,false
"Earthquake‑victim 'crisis actor' rumors debunked by Reuters.",Politics,false
"FEMA‑funded immigrant facility exists as ‘Alligator Alcatraz’ debunked myths.",Law,true
"Kremlin 'lights off' photo was Earth Hour event, not 2024 sanctions blackout.",Environment,false
"SciCheck: What to know about Trump's wind‑energy executive order.",Environment,true
"SciCheck: RFK Jr repeated false vaccine–autism link during Senate hearing.",Health,false
"SciCheck: RFK Jr. minimized U.S. measles outbreak severity.",Health,false
"SciCheck: Trump’s science‑communication strategy misleads on climate.",Science,true
"FactCheck.org launched SciCheck in 2015 to address partisan science claims.",Meta,true
"FactCheck.org SciCheck funded by Stanton Foundation since launch.",Meta,true
"SciCheck: RFK Jr targeted CDC vaccine advisory panel replacement without evidence.",Health,false
"SciCheck: HHS ‘FAQ’ on COVID‑19 vaccination misstates data.",Health,false
"SciCheck: RFK Jr. justification of CDC panel overhaul is flawed.",Health,false
"SciCheck: Weather modification didn’t cause Guadalupe River floods.",Environment,true
"Earthquake‑actor conspiracy debunked the same way as pandemic‑actor hoaxes.",Environment,false
"EU pandemic treaty won’t override national sovereignty, contrary to claims.",Government,true
"BBC did not say neutral facial expressions signal deepfakes.",Technology,false
"AFP Fact Check: Clip from Ukraine war miscaptioned as Gaza footage.",Politics,false
"PolitiFact: Claim that school closures had no effect on COVID transmission is false.",Health,false
"Reuters Fact Check: No evidence that solar panels explode in heatwaves.",Environment,false
"FactCheck.org: Claim that fluoride in water causes mass hysteria is false.",Health,false
"AFP: Photo misused from Indonesia wildfire shown as Amazon fire.",Environment,false
"PolitiFact: Senators did not set Social Security age to 70.",Politics,false
"Reuters: No proof the WHO pandemic treaty removes national sovereignty.",Government,true
"FactCheck.org SciCheck: Claim COVID vaccines caused infertility is unsupported.",Health,false
"Reuters: Video from Kenya wrongly used to show US protests.",Politics,false
"AFP: Meme misquotes Pope Francis on climate action urgency.",Environment,false
"PolitiFact: Claim that electric cars increase CO₂ emissions is false.",Environment,false
"Reuters: Astronaut did not say the Moon landing was staged.",Science,true
"FactCheck.org: Claim that vitamin D cures COVID is false.",Health,false
"AFP: Graphic misrepresents refugee numbers as 'millions dead'.",Politics,false
"PolitiFact: Statement that gas prices doubled under Biden is misleading.",Economy,false
"Reuters: Heatwave footage from Spain misused as India heat crisis.",Environment,false
"FactCheck.org: Claim masks cause CO₂ poisoning is false.",Health,false
"AFP: Old earthquake video reused as Taiwan disaster footage.",Environment,false
"PolitiFact: Claim that student debt forgiveness equates to $200B cost is exaggerated.",Economy,false
"Reuters: Myth that bees cause more annual deaths than snakes is false.",Environment,false
"FactCheck.org: Claim ADHD is overdiagnosed is misleading.",Health,true
"AFP: Video from Philippines shown as US migrant camp footage.",Politics,false
"PolitiFact: Claim that no one died from COVID on cruise ships is false.",Health,false
"Reuters: No evidence that cell phone towers cause cancer clusters.",Health,false
"FactCheck.org SciCheck: Misleading comparison of vaccine side effects and COVID risks.",Health,false
"AFP: Old forest fire image miscaptioned as climate protest banner.",Environment,false
"PolitiFact: Claim that electric scooters are banned in every US city is false.",Politics,false
"Reuters: Claim that Antarctica ice sheet is expanding is false.",Environment,false
"FactCheck.org: Rumor that coffee causes cancer is false.",Health,true
"AFP: Video of donated aid misused to show famine in Somalia.",Politics,false
"PolitiFact: Claim that unemployment reached 50% in 2024 is false.",Economy,false
"Reuters: No proof that vitamin C prevents cancer.",Health,false
"FactCheck.org SciCheck: Claim that 5G causes infertility is false.",Health,false
"AFP: Photo from 2015 misused as evidence of current war crimes in Ukraine.",Politics,false
"PolitiFact: Claim that minimum wage is now $20 in California is false.",Economy,false
"Reuters: No evidence that wildlife relocated causes pandemics.",Environment,false
"FactCheck.org SciCheck: Claim that GMO corn causes diabetes is false.",Health,false
"AFP: Image misrepresented as US border crisis footage.",Politics,false
"PolitiFact: Claim that school choice defunds public schools is misleading.",Education,false
"Reuters: No evidence nuclear bunker funding signals imminent war.",Government,true
"FactCheck.org: Claim that wind turbines cause earthquakes is false.",Environment,false
"AFP: Miscaptioned clip of plane landing shown as missile strike.",Politics,false
"PolitiFact: Claim that Social Security is 'going bankrupt' next year is false.",Economy,false
"Reuters: No evidence fur bans lead to higher unemployment.",Economy,true
"FactCheck.org SciCheck: Claim that masks reduce lung capacity is false.",Health,false
