label	statement	subjects
barely-true	Maggie Hassan raised tuition making it the highest in America .	education
false	Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom .	campaign-finance,ethics,history
true	We created 800000 new jobs we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history	jobs
barely-true	We have towns in West Texas that are out of water that are having to truck in water .	water
half-true	In Georgia women earn 82 cents for every dollar earned by men .	jobs,women
half-true	A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time .	immigration
barely-true	They were going to build the wall a while ago not so long ago like in 06 . And they couldnt get environmental impact statements .	immigration
false	Sen . Obama s campaign announced that he s choosing his cabinet .	elections
mostly-true	In 2008 only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out .	elections,population
false	Only 2 percent of public high schools in the country offer PE classes .	education,health-care
mostly-true	Said he s the only Republican candidate who s actually turned around a government economy .	job-accomplishments
true	On military recruiters at Harvard Elena Kagan took a position and the Supreme Court ruled unanimously that she was wrong .	education,gays-and-lesbians,kagan-nomination,military,supreme-court
mostly-true	There are 321092 public school teachers in Texas . And there are 313850 non-teachers in our public schools .	education,message-machine,taxes
false	Under Mayor Cicilline [Providence] was a sanctuary city .	history,homeland-security,immigration,legal-issues,pundits
pants-fire	Transgender individuals in the U.S. have a 1-in-12 chance of being murdered .	corrections-and-updates,crime,criminal-justice,sexuality
true	At Bain Capital we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised .	candidates-biography,job-accomplishments
false	Says the man who rushed the stage at him in Dayton Ohio had chatter about ISIS or with ISIS in his social media posts .	civil-rights,elections,terrorism
barely-true	U.S. Rep . Phil Gingrey gave the government the power to electronically spy on Americans without a warrant .	criminal-justice,terrorism
barely-true	Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America .	economy,financial-regulation,message-machine
true	If you take the population growth here in Virginia we are net zero on job creation since (Bob McDonnell) became governor .	jobs
barely-true	Under Obama home values in Florida collapsed construction jobs were lost and the state had a high foreclosure rate .	housing,message-machine-2012
mostly-true	The new Arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person .	immigration,legal-issues
mostly-true	The only time in our history when the debt has been higher than this was the end of World War II .	debt
mostly-true	The cost of health care is now the single-biggest factor driving down the federal budget deficit .	deficit,federal-budget,health-care
true	During the recession the consumer in his native perversity has begun to save . The savings rate is now 6.2 percent .	economy,abc-news-week
false	On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings .	kagan-nomination,supreme-court
barely-true	Says one out of three U.S. homeless men is a veteran .	poverty,veterans
false	Says Charlie Crist supports cuts to the Medicare Advantage program .	health-care,medicare
half-true	I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together - forget the United States .	energy
true	Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control .	health-care,legal-issues,women
half-true	At some point in their lives 99% of women use birth control .	sexuality
false	In the past 20 years Egypt has made great strides in political and democratic reform .	foreign-policy,abc-news-week
false	The amount of attention paid this week to Chris Christie makes the coverage of Benghazi . pale in significance .	terrorism,transportation
true	Says U.S. Rep . Steve Southerland voted to keep the shutdown going .	federal-budget
half-true	In Rick Perrys Texas we import nurses . from other countries .	health-care
mostly-true	There is a federal criminal law that says its a crime to transport dentures across state lines .	public-health
mostly-true	We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders .	crime,criminal-justice
barely-true	Sen . McCain s tax plan provides virtually nothing to the middle class .	taxes
false	Austin is burdened by the fastest-growing tax increases of any major city in the nation .	city-budget,city-government,taxes
false	Phoenix Arizona is the No . 2 kidnapping capital of the world .	immigration
true	I belong to the AFL-CIO .	candidates-biography,labor
mostly-true	The insurance commissioner cant do squat about health care .	health-care
half-true	Says a poll found him the only Republican candidate who could beat Barack Obama in Texas - and by eight points .	polls
barely-true	President Ronald Reagan sent troops into conflict only in one circumstance which was in Grenada We were in a peacekeeping setting in Lebanon .	foreign-policy,history,military
barely-true	Says David Jolly supports privatizing Social Security .	social-security
true	Did you know US population growth is at its lowest since the Great Depression	immigration,population
mostly-true	The average student in Florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones .	education
true	Since 1968 more Americans have died from gunfire than died in all the wars of this countrys history .	guns
mostly-true	A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender .	housing
false	The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house .	guns
pants-fire	The Atlanta streetcar is expected to create 930 jobs during construction totaling more than 5600 jobs over the next 20 years .	transportation
mostly-true	Raising the minimum wage to $10.10 an hour would help lift over a million Americans out of poverty .	income,message-machine-2014,poverty
mostly-true	Says Secretary of State John Kerry when he was a senator flew to Managua and met with a communist dictator there Daniel Ortega and accused the Reagan administration of engaging in terrorism .	foreign-policy,history,terrorism
false	NATO is opening up a major terror division . . Im sure Im not going to get credit for it but that was largely because of what I was saying and my criticism of NATO .	foreign-policy,military,terrorism
true	Sen . Obama has always had a 100 percent prochoice rating .	abortion
half-true	Since Gina Raimondo took office investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million .	candidates-biography,economy,pensions,retirement,state-finances,wealth,workers
true	The (federal) debt is growing by more than $4 billion a day .	deficit,economy,federal-budget
half-true	Under President Barack Obamas jobs bill states would no longer have to lay off teachers firefighters and police officers .	jobs
false	Of our 98000 teachers who are K-12 over 53000 of those teachers today are over 50 years old .	education,retirement
mostly-true	Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions .	government-regulation,jobs,poverty,welfare
half-true	Under President Obamas health-care reforms the premium for an average plan for a family didnt go down by $2500 per year its gone up about $2500 per year .	corporations,economy,health-care,public-health,workers
half-true	The IRS also investigated liberal groups groups that had progressive in their name . . The IRS was basically looking at everybody .	elections,taxes
barely-true	Says Obama promised unemployment would never go above 8 percent .	jobs
true	The economy is creating jobs at the fastest pace since 1999 .	economy,jobs
mostly-true	President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York .	foreign-policy,israel,message-machine-2012
mostly-true	In a majority of states you can now marry freely but can still be fired for who you love .	civil-rights,gays-and-lesbians,states
pants-fire	Say Oregon Reps . Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress .	candidates-biography
pants-fire	Rudy Giuliani is probably the most underqualified man since George Bush to seek the presidency .	job-accomplishments
false	About half of the presidents have been governors ; half of them senators .	congress,corrections-and-updates,elections,history,states
mostly-true	After Britains vote to leave the European Union within 24 hours Americans lost $100 billion from our 401(k)s .	economy,retirement
mostly-true	Medicaid spending declined by 1.9 percent in 2012 the second such decline in 47 years .	medicaid
true	Says 88 Texas constables have died in the line of duty .	crime,criminal-justice,history,public-safety,public-service
mostly-true	Gov . Rick Scott cut the cost of prepaid college tuition by nearly $20000 .	education
mostly-true	The city of Columbus would save $41 million a year if employees had to contribute to their own guaranteed-check pensions .	jobs,labor,unions
true	As Florida s CFO I shut down Krakow s scam and refunded more than $1.2 million to Josephine and other victims of this con man .	job-accomplishments
mostly-true	You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now .	education,technology,women
false	The Air Force wants taxpayers to fund a fantasy football league .	families,federal-budget,military
pants-fire	Barack Hussein Obama will . force courts to accept Islamic Sharia law in domestic disputes .	islam,message-machine-2012
half-true	About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns .	crime,guns
mostly-true	Some neighborhood schools are closing .	education,state-budget
mostly-true	He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy .	gays-and-lesbians
mostly-true	The years that I was speaker the Florida House consistently offered leaner budgets than the governor offered .	state-budget,taxes
barely-true	We are already almost halfway to our 2010 goal of creating 700000 new jobs in seven years .	economy,jobs
true	Says the U.S. Supreme Court found that Social Security is not guaranteed .	social-security
false	SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado .	congress,terrorism
true	Oregonians have an amazing no-cost way to fight abortion with free political donations	abortion,campaign-finance
pants-fire	The president said hes going to bring in 250000 (Syrian and Iraqi) refugees into this country .	foreign-policy,immigration,terrorism
barely-true	Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support .	immigration,pundits
mostly-true	Newt Gingrichs immigration plan offers a new doorway to amnesty .	immigration
false	Mr . Caprio is a career politician who has never worked in the private sector .	candidates-biography
barely-true	In Rhode Island 9 percent of workers use the states temporary disability insurance program each year while in New Jersey the rate is only 3 percent .	disability,labor,states,workers
mostly-true	In just 17 years spending for Social Security federal health care and interest on the debt will exceed ALL tax revenue	debt,federal-budget,taxes
mostly-true	President Obama took more money from Wall Street in the 2008 campaign than anybody ever had .	campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record
half-true	Donald Trump has said nuclear proliferation is OK .	nuclear
true	Hillary Clinton has taken over $800000 from lobbyists .	ethics
false	Barack Obama has never even worked in business .	candidates-biography
half-true	Says the Arizona immigration law expressly bans racial profiling .	immigration
false	Says Gov . Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S . Mexico border .	crime,immigration
barely-true	On the VA : Over 300000 veterans have died waiting for care .	health-care,veterans
mostly-true	Were now spending 42 percent of our economy on government .	debates,federal-budget,government-efficiency
barely-true	Rob Cornilles supports privatizing Medicare .	medicare,message-machine-2012
false	In 2005 Dan Branch tried to expand third-trimester abortions in Texas .	abortion,corrections-and-updates
half-true	We (Democrats) have made steady progress creating jobs and improving our schools .	education,government-efficiency,job-accomplishments,jobs
pants-fire	Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there .	environment
true	Whether you like to admit it or not half our general revenue goes to education .	education,state-budget
false	Im the only one whos fought against developers draining the Everglades	environment,message-machine
half-true	Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program .	crime,debt,federal-budget,social-security
half-true	There are 31 other states and 10000 other cities that have the same type of policies that we just passed referring to North Carolinas House Bill 2.	gays-and-lesbians,government-regulation,sexuality
barely-true	Climate change is directly related to the growth of terrorism .	climate-change,terrorism
barely-true	The jobs bill includes President Obamas tax on soup kitchens	economy,jobs,taxes,workers
barely-true	Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China .	stimulus
half-true	While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed .	civil-rights
half-true	If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50 the city would have 23 different bicycle violations that have a higher forfeiture .	city-government,crime,drugs,government-regulation,marijuana
false	We have more illegal immigrants here than we did five years ago .	immigration
barely-true	Says Rick Perry wrote a letter supporting Hillarycare .	health-care
false	The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name .	sports
pants-fire	The presidents health care proposals will cause most Americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage .	health-care,pundits
mostly-true	(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic .	immigration
half-true	Says Chris Christie vetoed a jobs package of 30 bills .	jobs
true	There are already more American jobs in the solar industry than in coal mining .	climate-change,energy,environment,jobs
half-true	Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers .	agriculture,job-accomplishments,message-machine
half-true	Barack Obama is in an economy thats only worsened since hes been president of the United States .	bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers
mostly-true	Romney failed to take action against sanctuary cities in Massachusetts .	immigration
half-true	Says New Jersey is down nearly 200000 jobs from its pre-recession peak and with Gov . Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months .	economy,job-accomplishments,jobs
false	Says Thomas Eric Duncan came into the United States with an elevated temperature .	ebola,health-care,public-health,transportation
mostly-true	We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history .	afghanistan
half-true	Gas prices have gone up $2 since Obama took office .	energy,gas-prices
true	Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships .	marriage,message-machine,women
true	Says judges get better benefits at a lower cost than everybody else in the state .	pensions
true	There are a lot of casinos across the country that have gone bankrupt .	bankruptcy,economy,gambling,state-budget,state-finances,states
true	Small businesses create 70 percent of the jobs in America .	economy,jobs,small-business
half-true	Seniors with coverage under Medicare Advantage will give up more than their share because of health care reform	health-care,medicare
half-true	Over 12000 school kids were arrested in Florida . It makes Florida the nations leader in that area .	children,crime,education
mostly-true	If Texas were a country our economy would rank # 10 . in the WORLD .	corrections-and-updates,economy,states
false	There are more oil rigs in operation in the United States than the rest of the world combined .	corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure
half-true	Payday lenders profit from the poor by charging 1000-plus percent interest .	financial-regulation
half-true	The Social Security trust fund is sound . Without anything being done it would function well into 2038 ; and even after that time with no changes we could pay 80 percent of the benefits that people have earned .	social-security
mostly-true	It is a commitment voters take very seriously : The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday .	elections,taxes
false	The Obama administration shut down the Amber Alert program because of the government shutdown .	children,crime,federal-budget
mostly-true	The Republicans have 2 percent of the Muslim vote .	religion
mostly-true	[W]e see Americas prison population exploding with America having a greater percentage of its people behind bars than any other nation in the world	criminal-justice
pants-fire	Says that in a hearing Rep . Gabrielle Giffords suggested to Gen . David Petraeus that the Army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output .	energy,environment,military
half-true	Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2800 cost-of-living adjustment on January 1 2015 .	economy,jobs
true	In Texas the No . 1 name for new male babies many of whom will vote one day is Jose .	elections,immigration,pundits
mostly-true	Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people .	candidates-biography,congress,foreign-policy,history,terrorism
false	Under the Cash for Clunkers program all we ve got to do is . go to a local junkyard all you ve got to do is tow it to your house . And you re going to get $4500 .	pundits,transportation
false	Not one Republican has the guts to recognize that climate change is real .	cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety
half-true	While our people work longer hours for lower wages almost all new income goes to the top 1 percent .	economy,income,workers
pants-fire	David Dewhurst has a record of promoting an income tax .	taxes
mostly-true	Point Pleasant Beach does not own its beaches ; they are privately owned and operated by businesses such as Jenkinsons	environment,income
barely-true	In the past year more than 20 percent of Americans have changed their mind about the war in Afghanistan . They conclude we shouldn t be there .	afghanistan
false	In the last five years 28000 people have been killed along the U.S . Mexico border .	crime,homeland-security,immigration
barely-true	The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation .	economy,jobs
false	Says Obama health reform law denies millions access to affordable insurance .	health-care,workers
barely-true	Says HB2 hasnt moved the needle one iota on North Carolinas economy .	corporations,economy,gays-and-lesbians,state-finances,states
false	Close to 30% of our federal prison population consists of illegal immigrants .	immigration
false	Says Rick Scott called education not a core function of the state .	education,state-budget
false	The Family Research Council according to some government agencies is a terrorist group .	terrorism
true	Says Rep . Jim Weidner proposed a bill taking away health care for 80000 of Oregons children .	health-care,taxes
true	Says that in the 1985 election former Gov . Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history .	elections,states
false	Obamacare is the biggest tax increase in American history .	corrections-and-updates,federal-budget,health-care,taxes
true	You . said that Barack Obama was not ready to be commander in chief .	candidates-biography
mostly-true	The median male worker in this country has not seen a raise inflation adjusted for 30 years basically .	economy,jobs,labor,workers
barely-true	Milwaukee Mayor Tom Barrett has held the line on property taxes .	job-accomplishments,taxes
true	Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200 .	campaign-finance
true	Unlike the gridlock in Washington more than 80 percent of the bills we passed during this General Assembly had bipartisan support .	bipartisanship,job-accomplishments
false	Josh Mandel is lying about his own record . The rating of Ohios investment fund has NOT improved .	job-accomplishments,message-machine-2012,state-finances
half-true	Rick Scott took $200000 from a family that leased land for drilling and now he is trying to hide from it .	campaign-finance,environment
half-true	On how money from a possible lease of the Ohio Turnpike would be used	infrastructure,transportation
mostly-true	At the beginning of the last decade . America had a budget surplus of over $200 billion . By the time I took office we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade .	economy,federal-budget
half-true	The president has had 1540 of his nominations confirmed only four defeated .	legal-issues
true	U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East .	foreign-policy,religion,terrorism
barely-true	Milwaukee County taxpayers paid $370000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr . to use untrained corrections officers rather than deputies to patrol the lakefront .	labor,public-safety
mostly-true	There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election .	criminal-justice,government-regulation
true	Democratic presidents have been considerably more effective at creating private-sector jobs .	economy,history,workers
true	Joe Biden voted against the first Gulf War . He opposed the surge . He wanted to partition Iraq .	iraq
barely-true	Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed .	bipartisanship
half-true	One percent of the American people make over 21 percent of all the income in America . That wasnt the way before George Bush became president .	taxes
half-true	Military recruiting went on at Harvard every single day throughout the time (Kagan) was there .	kagan-nomination,military,abc-news-week
mostly-true	Says that under Rick Perrys plan Texas has cut funding for public schools by 25%.	children,education,state-budget,state-finances
half-true	Says David Perdue wants to abolish the U.S. Department of Education which would cost Georgia schools $1 billion a year and eliminate millions in student loans .	education,federal-budget
mostly-true	The Paul Ryan budget proposal would privatize Medicare .	federal-budget,health-care,medicare
mostly-true	High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court .	criminal-justice,education
half-true	The United States imprisons more than any nation in the world .	criminal-justice
pants-fire	Says Marco Rubio is the one for an open border .	immigration
mostly-true	. Over 30 years federal spending on education has grown by 375 percent but test scores remain flat .	education,federal-budget
barely-true	Says cuts to Medicare affect people who have already paid in . We paid for it .	federal-budget,health-care,medicare
barely-true	David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott .	bipartisanship,campaign-finance,candidates-biography
true	The American healthcare system burns 18 percent of our national GDP . Nobody else is close .	federal-budget,health-care
false	Providences port is 200 miles closer to Europe than any other Eastern port .	economy,infrastructure,trade,transportation
true	Says you need a photo ID to purchase Sudafed in Texas .	elections,legal-issues
mostly-true	Twenty percent of housing in Portlands Pearl District is affordable .	housing,infrastructure,taxes,urban
mostly-true	Says allowing the payroll tax holiday to expire would end up costing another estimated 900000 jobs in 2012 .	taxes
half-true	Hillary Clinton supported NAFTA and permanent China trade . Pennsylvania lost thousands of jobs .	foreign-policy
half-true	Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth .	jobs,unions
true	Obama s budget plan would take national debt up to about 80 percent of gross national product . . Historically it s been about 40 percent .	federal-budget
barely-true	Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated . She said she was satisfied with what was going on .	veterans
false	We now have driven (health care) costs down to the lowest theyve been in 50 years .	health-care
half-true	President Barack Obama s initial response when we heard about the Christmas underwear bomber was to say that this was the act of an isolated extremist .	homeland-security,terrorism,abc-news-week
half-true	Says Sen . Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes (he) now claims that his stimulus bill didnt do enough to lower taxes .	stimulus,taxes
mostly-true	In the 1950s A lot of people got rich and they had to pay a top tax rate of 90 percent .	taxes
mostly-true	The Charleston S.C. shootershould have never been given a gun but the universal background check was not fast enough .	corrections-and-updates,guns,homeland-security
barely-true	Sixty-five percent of the Iraqi people now say it s okay to shoot an American soldier .	iraq
false	Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional .	health-care,supreme-court
half-true	Says Gov . Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years .	taxes
true	Warren (Buffett) still does support me .	economy
true	Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill .	candidates-biography,jobs
false	A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted	elections
mostly-true	About 230000 people that were on unemployment when I took office are not on unemployment now .	economy,workers
barely-true	One person Kathleen Sebelius was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die .	children,health-care,public-health,pundits
pants-fire	Ron Klein repeatedly voted in favor of amnesty for illegal immigrants .	immigration
false	Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info .	criminal-justice,health-care,legal-issues,privacy
true	During his tenure as mayor he saw Houstons crime rates drop to the lowest levels in more than 25 years .	crime
pants-fire	Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro .	corrections-and-updates,obama-birth-certificate
barely-true	John McCain one of the richest people in a Senate filled with millionaires says the solution to the housing crisis is for people to get a second job and skip their vacations .	economy
false	Terry McAuliffe wants to raise your taxes $1700 to pay for his infinite promises .	education,state-budget,taxes
half-true	Hypocrisy at the Clinton Foundation : Top male staff made on average $218029 while top female staff made $153014 from 2010-2014 .	candidates-biography,women,workers
mostly-true	Since the federal Violence Against Women Act was adopted in 1994 cases of domestic violence have fallen by 67 percent .	crime,criminal-justice,women
half-true	Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning .	crime,homeland-security,legal-issues,terrorism,abc-news-week
half-true	On legalizing illegal immigrants .	immigration
true	Nearly half of all pregnancies in the U.S. are unintended .	abortion,census,children,families,health-care,public-health,women
half-true	We are borrowing Saudi money for Saudi oil with the result being dependency and debt .	energy
half-true	Says there are homes for sale on and around (Oswego Lake) right now for under $150000 that anyone is welcome to buy .	housing
half-true	Since the president became the president we have lost 3.3 million jobs in the private sector . But you know whos done OK and whos not complaining today The public sector . Weve gained 590000 public sector jobs .	economy,federal-budget
false	The top 1 percent pay over half of the entire revenue for this country .	taxes
barely-true	The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money .	state-budget,state-finances,taxes
half-true	Chris Christie has not increased the taxes on anyone .	taxes
barely-true	The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.	agriculture,immigration,workers
false	Says he never said he would keep education funding the same .	education,state-budget
true	Since 1978 college tuition nationwide has gone up something like four times the rate of inflation .	education
half-true	Says Sen . Rob Portman said It would be irresponsible not to cut Medicare .	medicare
mostly-true	Most of if not all of the [DeKalb school construction] projects always came in on or were under budget .	education
false	(Palin) supported right-wing extremist Pat Buchanan for president in 2000 .	israel
barely-true	Says Sen . Sherrod Brown voted to block American energy production and increase energy taxes .	energy,message-machine-2012,taxes
barely-true	Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax .	energy,taxes,voting-record
half-true	Washington D.C. had some of the strictest gun laws in the country . And when they passed them violence skyrocketed .	crime,criminal-justice,drugs,government-regulation,guns,public-safety
