label,statement,subjects,neutral_statement
True,Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio .,elections,"assistant

Mitt Romney was an early supporter of Marco Rubio."
False,The number of illegal immigrants could be 3 million . It could be 30 million .,immigration,"assistant

The estimated number of undocumented immigrants in the country is uncertain and may range from 3 million to 30 million."
True,Marijuana is less toxic than alcohol .,"drugs,health-care,marijuana","assistant

Marijuana has been compared to alcohol in terms of toxicity."
False,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme .,"jobs,state-budget","assistant

Charlie Crist is involved in a case related to allegations of misusing taxpayer funds."
True,Now there was a time when someone like Scalia and Ginsburg got 95-plus votes .,"sotomayor-nomination,supreme-court","assistant

Notably, Justices Scalia and Ginsburg received significant bipartisan support in their confirmations."
False,I was gone when there was a red line against Syria .,foreign-policy,"assistant

I was not present when the red line was established in Syria."
True,Tim Kaine hiked tuition as governor but now claims to champion affordability .,"education,state-budget","assistant

As governor, Tim Kaine increased tuition, but now he advocates for making higher education more affordable."
True,Contends that President Obama literally said (if) his cap-and-trade proposals were to pass that utility rates his words now would necessarily skyrocket .,"climate-change,energy","assistant

Claims that President Obama stated that if his cap-and-trade proposals were to pass, utility rates would likely increase."
True,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts .,"health-care,military","assistant

Active duty males in the military have a higher incidence of prostate cancer compared to their civilian counterparts."
False,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee .,"congress,supreme-court","assistant

It has been since 1888 that a Senate of a different party than the president has confirmed a Supreme Court nominee."
False,Under Rosemary Lehmberg the Travis County D.A.s office convened the grand jury that indicted Rick Perry .,"crime,criminal-justice","assistant

The Travis County District Attorney's office, under Rosemary Lehmberg, convened a grand jury that indicted Rick Perry."
True,On which team hes rooting for in the World Series .,"baseball,recreation","assistant

Which team is he supporting in the World Series?"
True,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years .,"message-machine,campaign-advertising","assistant

Tom Ganley has received two F ratings from the Better Business Bureau and has been the subject of over 160 complaints within a three-year period."
True,The United States has a low voter turnout rate .,elections,"assistant

The United States has a relatively low voter turnout rate."
True,Says Thomas Jefferson said You might be able to fool the people for awhile and they may go astray but sooner or later the American people are going to wake up and they will correct the course .,"health-care,history","assistant

Thomas Jefferson stated that the American people may initially be misled, but ultimately, they will become aware of the situation and take corrective action."
False,Because of the federal health care law 300000 health plans canceled in Florida .,health-care,"assistant

Approximately 300,000 health insurance plans in Florida were canceled due to the federal health care law."
True,In Massachusetts Scott Brown pushed for a law to force women considering abortion - force them - to look at color photographs of developing fetuses .,"abortion,legal-issues,women","assistant

In Massachusetts, Scott Brown advocated for a law that would require women considering abortion to view images of developing fetuses."
True,The Fed created $1.2 trillion out of nothing gave it to banks and some of them foreign banks so that they could stabilize their operations .,"economy,financial-regulation","assistant

The Federal Reserve created $1.2 trillion in new liquidity and provided it to banks, including some foreign banks, to help stabilize their operations."
True,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago .,"states,taxes","assistant

Texas families have retained more than $10 billion in their household budgets since the reinstatement of the Texas sales tax deduction a decade ago."
False,Pre-existing conditions are covered under my (health care) plan .,"debates,health-care","assistant

Pre-existing conditions are included in my health care plan."
True,Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law disarm innocent Texans and detain them in tunnels beneath closed Walmart stores .,"military,states","assistant

Texas Governor Greg Abbott activated the state guard to monitor Jade Helm 15, a military training exercise, to ensure public safety and address any concerns about the operation."
False,Says he won the second debate with Hillary Clinton in a landslide in every poll .,"debates,elections,polls","assistant

He was declared the winner of the second debate against Hillary Clinton in most polls."
False,Says bag litter increased after San Francisco banned single-use shopping bags .,environment,"assistant

The use of single-use shopping bags in San Francisco was banned, and as a result, the amount of bag litter in the area increased."
True,In 1993 Newt Gingrich first advocated for the individual mandate in health care . And as recently as May of this year he was still advocating for it .,health-care,"assistant

Newt Gingrich first advocated for the individual mandate in healthcare in 1993. He also expressed support for it as recently as May of this year."
False,Says as a result of the national health care reform the Congressional Budget Office says we save $250 million over the first 10 years . Over the next 10 years we save $1.2 trillion in savings in terms of health care .,health-care,"assistant

According to the Congressional Budget Office, the national health care reform is projected to result in $250 million in savings over the first 10 years. Over the next 10 years, it is estimated to yield $1.2 trillion in health care savings."
True,You said you would vote against the Patriot Act then you came to the Senate you voted for it .,terrorism,"assistant

You initially stated that you would oppose the Patriot Act, but upon taking office, you voted in favor of it."
True,The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress .,"economy,history,income,workers","assistant

The federal minimum wage has decreased in value by approximately 20 percent since Ronald Reagan's first address to a joint session of Congress."
False,A proposed tax to fund transportation projects would spend $90000 to take a single vehicle off the road during the morning and afternoon commute .,transportation,"assistant

A proposed tax to fund transportation projects would allocate $90,000 to remove one vehicle from the road during peak morning and afternoon commute hours."
False,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception .,"abortion,health-care,legal-issues,women","assistant

A salesclerk at Hobby Lobby may not have access to contraception through her employer's health care plan due to the company's stance on the use of contraception."
True,Says Charlie Crist voted against raising the minimum wage .,"economy,jobs","assistant

Charlie Crist voted against raising the minimum wage."
False,Hillary Clinton said gun confiscation would be worth considering .,guns,"assistant

Hillary Clinton suggested that gun confiscation could be a topic for consideration."
True,Already a prototype driverless car has traveled more than 300000 miles in the crowded maze of California streets without a single accident .,"consumer-safety,public-safety,technology,transportation","assistant

A driverless car has completed over 300,000 miles of testing in California without being involved in an accident."
True,Last year out of the 500000 (in) population growth we had in the state of Texas about 250000 of the 500000 came to Texas . from the other 49 states .,"economy,immigration","assistant

Out of the 500,000 population growth in the state of Texas last year, approximately 250,000 individuals moved to Texas from the other 49 states."
False,When undocumented children are picked up at the border and told to appear later in court . 90 percent do not then show up .,"children,foreign-policy,immigration,legal-issues","assistant

Undocumented children who are apprehended at the border and given a court date often fail to appear in court."
True,Says Gov . Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding .,"education,state-budget","assistant

Governor Chris Christie implemented a budget that reduced spending by $1 billion and allocated $850 million in new education funding."
True,Hes the only candidate whos balanced budgets and brought jobs to Providence .,"candidates-biography,state-budget","assistant

He is the only candidate who has a record of balancing budgets and creating jobs in Providence."
True,Studies have shown that in the absence of federal reproductive health funds we are going to see the level of abortion in Georgia increase by about 44 percent .,abortion,"assistant

Research indicates that without federal reproductive health funding, the rate of abortion in Georgia is expected to rise by approximately 44 percent."
False,ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public .,census,"assistant

The Census Bureau has partnered with ACORN to assist with data collection."
False,Sixty percent of the Hispanics support the Arizona immigration law,immigration,"assistant

A majority of Hispanic individuals support the Arizona immigration law."
False,If the sequester hits federal prosecutors will have to let criminals go .,"crime,criminal-justice,federal-budget,legal-issues","assistant

Federal prosecutors may have to adjust their caseloads if the sequester occurs."
False,Says Dick Cheney de-Baathisized the Iraqi government and created ISIS .,"foreign-policy,iraq,terrorism","assistant

Dick Cheney's policies contributed to the de-Baathification of the Iraqi government, which had a role in the rise of extremist groups, including ISIS."
True,Says Bill and Hillary Clinton attended Donald Trumps last wedding .,candidates-biography,"assistant

Bill and Hillary Clinton attended Donald Trump's wedding."
False,I did not play any role in bringing the company to RI as did others in government . I was tasked with handling the legislation affecting the company by my superiors .,"bankruptcy,debt","assistant

I did not have a role in the company's bankruptcy filing, whereas others in government were involved. I was responsible for handling the legislation affecting the company as assigned by my superiors."
True,Obamacare insurance cooperative failures should be expected because theyre like any business and when you start businesses in America at the fifth year half of the businesses have closed .,health-care,"assistant

The failure of some Obamacare insurance cooperatives can be anticipated, as they are subject to the same business risks as other companies in the United States, where approximately half of businesses fail within the first five years."
False,The tax cut deal is giving $700 billion to millionaires and billionaires .,"deficit,economy,taxes","assistant

The tax cut deal allocates a significant portion of its benefits to high-income earners, including individuals with a net worth of $1 million or more."
True,Says Marco Rubio said Social Security and Medicare haveweakened us as a people .,"medicare,social-security","assistant

Marco Rubio stated that Social Security and Medicare have contributed to the nation's fiscal challenges."
True,Across the country $174 billion of the Recovery Act have been committed in its first 130 days .,"economy,federal-budget,stimulus","assistant

The Recovery Act has allocated $174 billion in its first 130 days."
True,As secretary of the Department of Energy under former President Bill Clinton I created reserves of home heating oil .,energy,"assistant

As secretary of the Department of Energy under former President Bill Clinton, I managed the creation of reserves of home heating oil."
True,Twenty-five states have lower unemployment than Texas which is tied with Mississippi for more minimum-wage jobs than anywhere in the United States .,"job-accomplishments,jobs","assistant

Twenty-five states have lower unemployment rates than Texas. Texas has the same number of minimum-wage jobs as Mississippi, the state with the highest number of minimum-wage jobs in the United States."
True,Of the 20 bills [Rep . David] Cicilline has sponsored in his three years in office not a single one has advanced past the embryonic committee stage .,"bipartisanship,congress,congressional-rules,job-accomplishments,voting-record","assistant

In his three years in office, Representative David Cicilline has sponsored 20 bills, none of which have advanced beyond the committee stage."
True,Says Donald Trump has said he loves war including with nukes .,"candidates-biography,foreign-policy,military","assistant

Donald Trump has stated that he is open to the use of military force, including nuclear options."
False,Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate which is unconstitutional .,"state-finances,taxes","assistant

The state hospital bed tax renewal began in the Senate, which is contrary to the typical procedure that requires state tax laws to originate in the House."
True,Every child born today inherits a $30000 share in a national debt that stands at more than $13 trillion .,deficit,"assistant

Each child born today inherits a portion of the national debt, which currently exceeds $13 trillion."
False,A strong bipartisan majority in the House of Representatives voted to defund Obamacare .,"congressional-rules,federal-budget,health-care","assistant

A bipartisan majority in the House of Representatives voted to defund the Affordable Care Act."
True,Proximity to high-voltage power lines lowers property values by as much as 30 percent .,"energy,environment,housing,recreation","assistant

Properties located near high-voltage power lines may experience a decrease in value of up to 30 percent."
False,What the facts say is . the best scenario for kids is a loving mom and dad .,"children,diversity","assistant

Research suggests that children often benefit from having two parents involved in their lives."
False,Says Mark Neumann = Nancy Pelosi,"federal-budget,infrastructure,message-machine,transportation,voting-record","assistant

I'm not aware of any statement from Mark Neumann about Nancy Pelosi. Please provide the original statement for me to rewrite."
True,To hear Gov . Christie tell it everything in New Jersey is going just fine . Well I see another New Jersey with 400000 unemployed . One of the worst jobless rates in the country . Working and middle class families have seen costs soar from property taxes to college tuition .,"education,jobs,taxes","assistant

According to Governor Christie, New Jersey's economy is performing well. However, the state has a significant number of unemployed individuals, with approximately 400,000 people out of work. New Jersey's unemployment rate is among the highest in the country. Additionally, working and middle-class families have experienced rising costs for property taxes and college tuition."
False,Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination .,"corrections-and-updates,elections,legal-issues","assistant

The Republican National Convention rules cannot be changed by delegates to prevent Donald Trump's nomination."
False,Rebuilding three high schools will benefit 40 percent of Portland Public School students .,education,"assistant

The rebuilding of three high schools will impact approximately 40 percent of Portland Public School students."
True,Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money .,"elections,water","assistant

Proposition 2 on the November Texas ballot does not require state taxpayers to pay any additional funds."
True,Providence has the lowest crime rate in three decades .,"crime,job-accomplishments","assistant

Providence has experienced a decrease in crime rates over the past three decades."
False,On banning earmarks .,federal-budget,"assistant

The federal government has considered implementing a ban on earmarks."
True,Says hes taken an 8% pay decrease in each of the nine years he has been in office .,"candidates-biography,county-budget,county-government","assistant

He has taken a pay decrease of 8% each year for the nine years he has been in office."
True,1 percent of Americans are millionaires . 47 percent of House Reps . are millionaires . 56 percent of Senators are millionaires .,occupy-wall-street,"assistant

According to available data, approximately 1% of Americans have a net worth of $1 million or more. In contrast, 47% of members of the U.S. House of Representatives and 56% of U.S. Senators have a net worth of $1 million or more."
False,The decision for the United States to buy heavy water from Iran will directly subsidize Irans nuclear program .,"energy,foreign-policy,nuclear","assistant

The United States' purchase of heavy water from Iran will provide Iran with revenue for its nuclear program."
True,The Texas Department of Transportation . misplaced a billion dollars .,transportation,"assistant

The Texas Department of Transportation reported a budget discrepancy of approximately one billion dollars."
False,A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border .,"civil-rights,immigration,privacy,technology","assistant

A judge's order has established a constitutional exemption zone for a 100-mile radius around the United States border."
True,Pepper . kicked off a jock tax imposing a levy on the sports and entertainment industry .,"message-machine,taxes","assistant

Pepper imposed a tax on the sports and entertainment industry."
False,Mitch McConnell opposed legislation to create and protect Kentucky jobs . . . help for the unemployed . . . health care for Kentucky s children and fair pay for women .,"economy,health-care,workers","assistant

Mitch McConnell opposed legislation that aimed to create and protect jobs in Kentucky, provide assistance to the unemployed, offer health care for Kentucky's children, and ensure fair pay for women."
True,Under Mayor Tom Barrett the number of Milwaukee police officers has not increased .,"city-budget,crime,job-accomplishments","assistant

Under Mayor Tom Barrett's administration, the number of Milwaukee police officers has remained steady."
False,Taxpayers subsidize 80 percent of each MARTA trip,transportation,"assistant

MARTA trips are subsidized by taxpayers to the extent of approximately 80 percent."
False,President Obama Sen . Harry Reid and Rep . Nancy Pelosi passed a $1.2 trillion stimulus bill .,stimulus,"assistant

The $1.2 trillion stimulus bill was passed by President Obama, Senator Harry Reid, and Representative Nancy Pelosi."
True,Says Milken Institute rated San Antonio as nations top-performing local economy .,economy,"assistant

The Milken Institute ranked San Antonio as the top-performing local economy in the nation."
False,Says people in Africa literally walk two and three hundred miles in order to vote .,elections,"assistant

Some individuals in Africa travel long distances, often hundreds of miles, to cast their ballots in elections."
True,Before World War II very few people actually had health insurance .,"health-care,public-health","assistant

Prior to World War II, health insurance coverage was relatively rare."
False,Half of children struck by cars near schools are hit by parents driving children to school .,transportation,"assistant

Children struck by cars near schools are often hit by drivers who are transporting them to school."
False,Citizens Property Insurance has over $500 billion worth of risk with less than $10 billion worth of surplus .,"state-budget,weather","assistant

Citizens Property Insurance has a total risk exposure of over $500 billion."
False,Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants .,immigration,"assistant

Tom Leppert stated that he would make Dallas a sanctuary city for undocumented immigrants."
True,Putting three Republicans in my Cabinet . is unprecedented .,history,"assistant

Having three Republicans in the Cabinet is a rare occurrence."
False,When Atlanta Police Chief George Turner was interim head of the department overall crime fell 14 percent and violent crime dropped 22.7 percent .,crime,"assistant

Under the leadership of Atlanta Police Chief George Turner as interim head of the department, crime rates showed a 14 percent decrease overall, and violent crime rates decreased by 22.7 percent."
True,From 1980 to 1990 the top 1 percent saw their income go up by roughly 80 percent while the median wage in the country over (the same) 10 years went up 3 percent .,"economy,history,income,pundits,taxes","assistant

Between 1980 and 1990, the top 1 percent experienced an increase in income of approximately 80 percent, while the median wage in the country rose by about 3 percent over the same 10-year period."
True,I am very proud as governor of Florida that we signed the first divestment act as it relates to Iran divesting any investments in companies that would invest in Iran .,"florida,foreign-policy","assistant

As governor of Florida, we have implemented a divestment act related to Iran, which prohibits investments in companies that invest in Iran."
True,As a result of climate change ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes .,"climate-change,environment","assistant

Ice fishermen in Wisconsin are experiencing a reduction in the number of days they can fish on frozen lakes due to climate change."
True,Muslim nations did not call out the people who celebrated the 9/11 attacks .,"islam,terrorism","assistant

Many Muslim-majority countries did not publicly condemn the individuals responsible for the 9/11 attacks."
False,Says Donald Trump said of women And you can tell them to go f - themselves .,women,"assistant

Donald Trump stated that women can be told to leave."
False,The Taliban has been there for years and years I mean hundreds of thousands of years .,"afghanistan,terrorism","assistant

The Taliban has been present in Afghanistan for several decades."
True,Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet .,"education,foreign-policy","assistant

Iran's President Hassan Rouhani has a higher number of Cabinet members with Ph.D.s from American universities compared to the Cabinet of former US President Barack Obama."
True,The words subhuman mongrel which Ted Nugent called President Barack Obama were used by the Nazis to justify the genocide of the Jewish community .,history,"assistant

Ted Nugent referred to President Barack Obama with the term ""subhuman mongrel,"" a phrase previously used by the Nazis to justify the persecution of the Jewish community."
False,(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion doesnt say how hes going to do it .,"debt,deficit","assistant

Barack Obama has stated that he plans to reduce the long-term debt and deficit by $4 trillion, but he has not specified the methods he intends to use to achieve this goal."
False,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan .,abortion,"assistant

Margaret Sanger was associated with the American Birth Control League, which had ties to the Ku Klux Klan."
True,Says President Obama and his National Labor Relations Board sued Boeing over its decision to open a plant in South Carolina .,"economy,jobs,market-regulation","assistant

President Obama and his National Labor Relations Board took legal action against Boeing over its decision to establish a manufacturing facility in South Carolina."
True,Says U.S. Sen . Ron Johnson led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225000 from polluters .,"environment,government-regulation","assistant

U.S. Sen. Ron Johnson supported legislation that would have allowed for increased carbon emissions and received nearly $225,000 in contributions from industries that release carbon pollution."
True,Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate .,"health-care,pundits","assistant

Orrin Hatch co-sponsored a 1993 health care bill that included an individual mandate."
True,More (student-athletes) graduate than the students who arent student-athletes .,"education,sports","assistant

A higher percentage of student-athletes graduate compared to non-student-athletes."
False,U.S. Rep . Lloyd Doggett is the most liberal man in the United States Congress .,"bipartisanship,candidates-biography","assistant

U.S. Rep. Lloyd Doggett is a member of the Democratic Party in the U.S. Congress."
False,Its entirely possible that the Democratic nominee [Hillary Clinton] earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s In fact its quite likely .,income,"assistant

The Democratic nominee, Hillary Clinton, reportedly earned more from a single speech on Wall Street than the speaker made in six years during their time there in the 1980s."
True,Says Mitt Romney flip-flopped on an assault weapons ban .,"guns,message-machine-2012","assistant

Mitt Romney's stance on an assault weapons ban has shifted over time."
False,Says state Senate President Stephen Sweeney gave us the nations highest income tax rates driving out jobs .,"income,jobs,message-machine-2012,taxes","assistant

State Senate President Stephen Sweeney has been associated with the implementation of the nation's highest income tax rates."
False,Delaware Democratic Senate candidate Chris Coons thought that a 911 call should be taxed .,"message-machine,public-safety,taxes,technology","assistant

Delaware Democratic Senate candidate Chris Coons suggested that a 911 call should be subject to a tax."
False,When Tim Kaine was governor spending soared blowing holes in the budget every year .,"job-accomplishments,message-machine-2012,state-budget,state-finances","assistant

During Tim Kaine's tenure as governor, state spending increased annually."
False,President Obama has the lowest public approval ratings of any president in modern times .,"history,polls","assistant

President Obama's public approval ratings have been lower than those of some of his predecessors in modern times."
False,Neville Chamberlain told the British people : Accept the Nazis . Yes they will dominate the continent of Europe but that is not our problem . Lets appease them . Why Because it cant be done . We cannot possibly stand against them .,"health-care,history","assistant

Neville Chamberlain informed the British people that they should accept the Nazi regime's expansion in Europe. He stated that the Nazis would likely dominate the continent, but that this was not a concern for Britain. Chamberlain suggested appeasement as a means of avoiding conflict. He believed that Britain could not effectively resist the Nazi's military power."
False,On an income cap for recipients of the popular HOPE scholarship,education,"assistant

The HOPE scholarship has a maximum income eligibility threshold."
True,Wisconsin is dead last in the Midwest for job creation .,"government-regulation,job-accomplishments,jobs,labor,unions,workers","assistant

Wisconsin ranks last among Midwestern states in terms of job creation."
True,On running a civil and polite campaign .,"message-machine,campaign-advertising","assistant

Running a campaign with a focus on civility and politeness."
True,Says President Barack Obama has taken 92 days of vacation since he was sworn in compared to 367 for President George W. Bush at the same point in his presidency .,"bush-administration,pundits,recreation","assistant

President Barack Obama has taken 92 days of vacation since being sworn in, compared to 367 days for President George W. Bush at the same point in his presidency."
True,The federal government reviewed and verified his administrations numbers showing Wisconsin added 23608 jobs in 2011 .,"economy,job-accomplishments,jobs","assistant

The federal government reviewed and confirmed the data from his administration, which indicated that Wisconsin added 23,608 jobs in 2011."
True,Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive .,taxes,"assistant

Tom Suozzi increased taxes by hundreds of millions of dollars during his tenure as Nassau County executive."
False,John Holdren director of the White House Office of Science and Technology Policy has proposed forcing abortions and putting sterilants in the drinking water to control population .,"abortion,pundits","assistant

John Holdren, the former director of the White House Office of Science and Technology Policy, has suggested that involuntary population control measures, including forced abortions and the addition of sterilants to drinking water, could be considered as options to address population growth."
True,Mitt Romney drove to Canada with the family dog Seamus strapped to the roof of the car .,"animals,candidates-biography,pundits","assistant

Mitt Romney transported his family dog, Seamus, on the roof of the car during a trip to Canada."
False,Many of the founding fathers were very actively involved in cockfighting .,"animals,history","assistant

Some of the founding fathers were known to have participated in cockfighting."
False,Says state Sen . Sheila Harsdorf wants to eliminate Medicare as we know it .,"medicare,retirement","assistant

State Senator Sheila Harsdorf has proposed changes to the Medicare program."
False,The majority of people travelling to these destination resorts are not going for the primary purpose of gambling .,gambling,"assistant

Most visitors to these destination resorts do not travel primarily for the purpose of gambling."
True,Says Bill Nelson voted 98 percent of the time with Barack Obama .,voting-record,"assistant

Bill Nelson voted with Barack Obama 98 percent of the time."
False,I did not I did not I do not say that . I do not say that climate change is a hoax perpetrated by the Chinese .,"candidates-biography,china,climate-change,economy,energy,environment,history,science","assistant

I did not make that statement, and I do not claim that climate change is a hoax perpetrated by the Chinese."
True,In Florida we have 75000 on (a) waiting list for child care and 23000 on waiting lists for community care for the elderly .,"children,education,state-budget","assistant

In Florida, there are approximately 75,000 children on a waiting list for child care and 23,000 individuals on waiting lists for community care for the elderly."
True,Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for every domestic violence agency every law enforcement agency thats a no-no .,"criminal-justice,sports","assistant

NFL Commissioner Roger Goodell interviewed Janay Rice, the domestic abuse victim, with Ray Rice present, a practice that is generally discouraged by domestic violence agencies and law enforcement."
False,I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work .,"afghanistan,bush-administration,candidates-biography,ethics,foreign-policy,homeland-security,human-rights,iraq,public-safety,terrorism","assistant

The enhanced interrogation techniques that were previously used, including waterboarding, have been prohibited by the administration."
False,Virginia has made no progress on jobs since Bob McDonnell took office .,"jobs,message-machine-2012","assistant

Virginia's job market has not shown significant improvement since Governor Bob McDonnell took office."
False,The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program .,iraq,"assistant

The Iraq Study Group reported that Saddam Hussein had intentions to revive his nuclear program."
True,The sex-offender registry has been around for a long time and the research thats out there says that it has no positive impact on the public safety .,crime,"assistant

The sex-offender registry has been in existence for a considerable period, and existing research suggests that its effectiveness in enhancing public safety is a topic of debate."
True,Ronald Reagan raised the national debt 18 times .,deficit,"assistant

Ronald Reagan increased the national debt 18 times during his presidency."
False,On whether global warming is man-made .,"climate-change,environment","assistant

The debate surrounding the cause of global warming centers on the role of human activities in contributing to the phenomenon."
True,The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed .,"crime,legal-issues","assistant

The number of inmates on death row who have died of natural causes since 2000 has now exceeded the number of inmates who have been executed."
True,Quite frankly it was during the Bush years of spending multiplied now by the Obama years that we have this mess .,"bipartisanship,debt,deficit,federal-budget","assistant

The federal budget deficit and debt have increased significantly over the past few decades, with spending levels rising during the Bush administration and continuing to grow during the Obama administration."
True,Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality .,health-care,"assistant

Republicans have proposed numerous health care solutions aimed at controlling costs and enhancing quality."
True,When the union says I want to eliminate tenure thats not true .,"education,state-budget,unions","assistant

The union has stated that eliminating tenure is not a goal."
False,Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity .,candidates-biography,"assistant

Hillary Clinton has donated a portion of her speaking fees to charity."
False,Charlottes anti-discrimination ordinance would have opened all bathrooms to all sexes at all times if it hadnt been overturned .,"city-government,gays-and-lesbians,government-regulation,public-safety","assistant

The Charlotte anti-discrimination ordinance would have allowed individuals to use public restrooms based on their gender identity if it had not been repealed."
True,Eighty percent of the American people support an approach (to federal budget problems) that includes revenues and includes cuts .,"federal-budget,polls,taxes","assistant

A majority of Americans support a federal budget approach that includes both revenue increases and spending reductions."
False,Social Security has nothing to do with the federal deficit .,"federal-budget,social-security","assistant

Social Security is a separate program from the federal budget and operates on its own dedicated funding source."
