model,model_short,prompt,mode,accuracy,macro_f1,n,tn,fp,fn,tp,mean_confidence,mean_conf_correct,mean_conf_wrong
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P4_subjects_as_context_clues,no_subjects,0.56353591160221,0.36373229300329013,1267,2,551,2,712,0.0031698022946280197,0.0032693064179407116,0.003041328616426823
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P4_subjects_as_context_clues,with_subjects,0.5627466456195738,0.36340204315586316,1267,2,551,3,711,0.006015843825727913,0.006190220403470632,0.005791420540654703
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,with_subjects,0.5548539857932123,0.5536793032633298,1267,384,169,395,319,0.8099674504858919,0.8201305232041252,0.7972996488530585
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P1_fake_news_no_guess,no_subjects,0.5548539857932123,0.5522294909391684,1267,400,153,411,303,0.7308882884181384,0.7509520789807077,0.7058796984084109
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P3_factcheck_assistant,with_subjects,0.5501183898973955,0.5459774884198139,1267,409,144,426,288,0.7539244946195276,0.7849681015678253,0.7159641541932759
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P3_factcheck_assistant,no_subjects,0.5453827940015785,0.5425901040935438,1267,395,158,418,296,0.7919576607450501,0.8136532061696915,0.7659305394109752
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,no_subjects,0.5382794001578532,0.5373756438991781,1267,369,184,401,313,0.8256513660313487,0.8414889248934659,0.8071877504006411
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P1_fake_news_no_guess,no_subjects,0.5311760063141279,0.513878338784938,1267,456,97,497,217,0.0019634039080227653,0.0019209650614994951,0.0020114869782418914
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,no_subjects,0.5288082083662194,0.5141599690151321,1267,445,108,489,225,0.8159788593873323,0.8301105556203359,0.8001191667975294
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P2_one_shot_example,with_subjects,0.5193370165745856,0.4942845064606935,1267,470,83,526,188,0.8692195451250204,0.8747438253965059,0.8632507825328407
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P1_fake_news_no_guess,with_subjects,0.516179952644041,0.4975452093575105,1267,449,104,509,205,0.0021003766048584946,0.0021120131198054787,0.002087961791195644
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P2_one_shot_example,no_subjects,0.5067087608524072,0.47983210113344876,1267,465,88,537,177,0.852620607299323,0.8561255671896296,0.8490203125
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P0_basic,with_subjects,0.43725335438042623,0.30541179546127317,1267,553,0,713,1,0.004043612220481144,0.004082008389359347,0.00401377845111435
deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,P0_basic,no_subjects,0.43646408839779005,0.3050270110809964,1267,552,1,713,1,0.004705441120391581,0.004755094297108986,0.004666984248228099
