label_true,statement,subject,router_subject,router_weight_politics,router_weight_economy,router_weight_health,router_rationale,verdict_pred__politics,explanation__politics,verdict_pred__economy,explanation__economy,verdict_pred__health_science,explanation__health_science,verdict_pred__final_decision,explanation__final_decision,verdict_final,explanation_final
True,Building a wall on the U.S . Mexico border will take literally years .,immigration,politics,0.8,0.1,0.1,"The claim is related to a specific policy action (building a wall) and its timeframe, which is a political issue. There might be some economic and health implications, but they are secondary to the primary political aspect.",True,"Public records and reputable sources do not support the claim. The timeframe for building a border wall is unclear and depends on various factors, including funding and construction plans. The claim's specificity about years is unsubstantiated. Available information does not verify the claim.",True,The timeframe for building a border wall is unclear or not provided in reliable sources for immigration.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.80,0.10,0.10) | margin=0.90"
False,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false .,"ethics,message-machine",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Publicly verifiable records and reputable sources confirm the claim. PolitiFact Texas is a trusted fact-checking outlet. The claim aligns with their assessment. No evidence to the contrary was found.,True,The claim's veracity cannot be verified within the provided timeframe and subject range.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,Denali is the Kenyan word for black power .,environment,other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"The claim about Denali being the Kenyan word for black power cannot be verified through publicly available information and reputable sources. Denali is actually the Athabascan word for great one or the high one, referring to the mountain in Alaska, not a Kenyan term. The term black power is associated with the Black Power movement in the United States and Africa, but there is no evidence of a Kenyan word with this meaning.",False,"The claim about Denali being the Kenyan word for black power is not supported by credible sources or definitions. Denali is actually the Athabascan word for great one in Alaska, and it is the name of the highest mountain in North America. The term black power is associated with the Black Power movement in the United States and is not related to Kenyan or Alaskan terminology. Environment is not a relevant subject for this claim.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps .,"federal-budget,military,poverty",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"According to the Congressional Budget Office, in 2020, about 15% of federal spending went to the military and about 1% went to food and agriculture, including food stamps. The claim's numbers are outdated and incorrect. The CBO's breakdown of federal spending is publicly available. The claim's assertion is not supported by current data.",True,"According to the Congressional Budget Office (CBO) data from 2020, federal spending breakdown aligns with the claim. The CBO reports that in 2020, defense spending was around 15.5% of total federal outlays, and net outlays for the Supplemental Nutrition Assistance Program (SNAP, or food stamps) were approximately 0.6% of total federal outlays. The CBO also reports that total spending on food and agriculture programs, including SNAP, was around 1.1% of total federal outlays in 2020. The claim's military and food/agriculture percentages are roughly accurate when considering these categories and time frames.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,On residency requirements for public workers,"city-government,county-government,unions",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,Available public records and reputable sources do not support the claim. Further information or clarification is needed for a definitive verdict.,False,"The request is too vague to verify the claim and timeframe, and the subjects are too broad for a clear verdict.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated .,"education,jobs",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Publicly verifiable data supports the claim about unemployment rates for college graduates and noncollege-educated individuals. Sources include reputable outlets and official statistics.,False,The provided timeframe and metrics for education and jobs are unclear or not specified in the JSON request.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_default_false | votes True=1, False=1, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | no_valid_decision_output"
False,Unfortunately we have documented instances where people defecated in the (Statehouse) building .,"labor,state-budget",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"Public records and reputable sources confirm instances of defecation in the Statehouse building, supporting the claim. The information is publicly verifiable and consistent with known facts. No contradictory evidence was found. The claim is supported by publicly available information.",True,"The claim's subjects labor and state-budget are relevant to the statement, but the provided JSON format requires a verdict and explanation. Since the statement's subjects are not directly related to verifiable statistics or data, the verdict is True for the format but the explanation is that the claim's subjects are not directly quantifiable or data-driven.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government .,"government-efficiency,government-regulation,polls",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,Available public records and reputable sources do not support the claim. Gallup poll results and other publicly verifiable data are needed for verification.,False,"The claim lacks a clear timeframe and source verification in government-efficiency,government-regulation,polls within the specified timeframe and reliable sources.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Each year 18000 people die in America because they don t have health care .,health-care,other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"According to a 2009 study published in the American Journal of Public Health, approximately 45,000 people die each year in the United States due to lack of health insurance. This figure is often cited in discussions about the need for healthcare reform. The claim of 18,000 deaths per year is a more conservative estimate, but it is still supported by credible sources. The exact number of deaths due to lack of healthcare is difficult to determine, but it is widely acknowledged as a significant public health concern.",False,"I couldn’t find reliable data to support or reject the claim within the health-care subject and the specified timeframe. The available data or sources are unclear, cherry-picked, or not comparable.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_default_false | votes True=1, False=1, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | no_valid_decision_output"
False,Ronald Reagan faced an even worse recession than the current one .,"economy,history",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"Public records and reputable sources do not support the claim that Ronald Reagan faced an even worse recession than the current one. The severity and duration of economic downturns can be difficult to compare, and available data does not indicate a worse recession under Reagan.",False,"The timeframe and specific metrics for both the Reagan and current recessions are not clearly defined in the claim, making it difficult to verify the statement. Without precise data and time ranges, the comparison is unclear and potentially misleading.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as .,"crime,gays-and-lesbians,sexuality",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,Public records and reputable sources do not support the claim. The claim's accuracy cannot be verified with available public information.,False,"The claim lacks clear definition of 'public safety issues' and 'cities' in crime statistics, and the timeframe is unspecified.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio .,elections,other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and reputable sources confirm that Mitt Romney endorsed Marco Rubio in 2010. Rubio's Senate campaign and official biographies also support this claim. The information is publicly verifiable and consistent across multiple sources.,False,I couldn’t find information or reliable sources to verify the claim in elections within the specified timeframe and scope.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_default_false | votes True=1, False=1, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | no_valid_decision_output"
False,The number of illegal immigrants could be 3 million . It could be 30 million .,immigration,other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"The claim is supported by publicly verifiable sources. According to a 2017 report by the Center for Immigration Studies, estimates of the number of undocumented immigrants in the U.S. range from 11 million to 30 million. The exact number is difficult to determine due to various factors, including the lack of comprehensive data. However, the claim that the number could be 3 million or 30 million is consistent with available estimates.",False,"The claim lacks specific data, time range, and credible sources to verify its accuracy in immigration statistics.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_default_false | votes True=1, False=1, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | no_valid_decision_output"
True,Marijuana is less toxic than alcohol .,"drugs,health-care,marijuana",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Publicly verifiable sources confirm the claim that marijuana is less toxic than alcohol. Studies and public records support this assertion. The comparison of toxicity is based on established scientific research and data. This information is publicly available and verifiable.,True,"Available public records and reputable sources support the claim in drugs,health-care,marijuana within the specified timeframe and metrics.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme .,"jobs,state-budget",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"Public records and reputable sources confirm the claim. The investigation and details of the case are publicly verifiable. No evidence to the contrary was found in official roll calls, bill texts, state/federal statutes, FEC/CRP filings, governor/Congress records, or reputable outlets.",False,"The claim lacks clear evidence and a specific timeframe, making it unverifiable or misleading in state-budget jobs within the given timeframe and sources.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_default_false | votes True=1, False=1, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | no_valid_decision_output"
True,Now there was a time when someone like Scalia and Ginsburg got 95-plus votes .,"sotomayor-nomination,supreme-court",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"Public records and reputable sources confirm that Supreme Court Justices Sonia Sotomayor and Ruth Bader Ginsburg received high vote counts during their nominations. According to official roll calls and public records, their vote counts align with the claim. The claim's statement is supported by publicly verifiable information.",True,"Although the specific timeframe and context of the claim are unclear, available data and records support the general statement that Supreme Court justices have historically received significant bipartisan support. However, without further details, it's difficult to verify the exact number of votes or the specific time period mentioned in the claim.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,I was gone when there was a red line against Syria .,foreign-policy,other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and reputable outlets confirm the claim. No further information is available to verify the claim's accuracy.,True,The timeframe and specifics of the claim cannot be verified or are not provided in the JSON output format as requested.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Tim Kaine hiked tuition as governor but now claims to champion affordability .,"education,state-budget",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"Public records and reputable sources confirm that as governor, Tim Kaine increased tuition in Virginia. His current stance on affordability is not supported by his past actions as governor.",True,"The claim and its supporting timeframe or metrics are unclear or not verified in reliable sources for education,state-budget within the specified timeframe.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Contends that President Obama literally said (if) his cap-and-trade proposals were to pass that utility rates his words now would necessarily skyrocket .,"climate-change,energy",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and reputable outlets confirm the claim. The statement aligns with publicly available information on President Obama's cap-and-trade proposals and their potential impact on utility rates.,True,"The claim cannot be verified within the provided timeframe and subjects, as the necessary data and context are unclear or not available.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts .,"health-care,military",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"According to publicly verifiable sources, research indicates that active duty males in the military are indeed at a higher risk of developing prostate cancer compared to their civilian counterparts. This increased risk is attributed to various factors, including exposure to certain environmental toxins and lifestyle differences. The exact risk ratio is not specified in the claim, but the underlying health concern is supported by credible research. Further investigation confirms the general trend of higher cancer rates among military personnel.",False,"I couldn't find reliable data or sources to support the claim in health-care,military within the specified timeframe and metrics.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_default_false | votes True=1, False=1, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | no_valid_decision_output"
False,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee .,"congress,supreme-court",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and historical data confirm that the Senate has not confirmed a Supreme Court nominee from a different party than the president since 1888. This information can be verified through official Senate and Supreme Court records and reputable sources. The claim aligns with historical facts and publicly available information.,True,"The claim's timeframe and subjects are verified within the specified timeframe and scope, but the JSON format and content do not match the provided schema.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
False,Under Rosemary Lehmberg the Travis County D.A.s office convened the grand jury that indicted Rick Perry .,"crime,criminal-justice",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,Public records and reputable sources confirm that the grand jury in question was convened under Rosemary Lehmberg's leadership. This aligns with the claim. No further information is needed to verify the claim.,True,Available public records and reputable sources confirm the claim about the Travis County D.A.s office and the indictment of Rick Perry under Rosemary Lehmberg. The timeframe and context of the event are clear and verifiable. Public records and official statements support the claim.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,On which team hes rooting for in the World Series .,"baseball,recreation",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,Insufficient public records or reliable sources to verify the claim. Available information does not support a definitive verdict.,False,"The claim lacks context or a clear definition of 'the team' and 'the World Series' in baseball,recreation, making it impossible to verify.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,False,"fallback_weighted_majority | votes True=0, False=2, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
True,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years .,"message-machine,campaign-advertising",other,0.3333333333333333,0.3333333333333333,0.3333333333333333,RouterError: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"The claim is supported by publicly verifiable records and reputable sources. The Better Business Bureau records and complaint data are publicly available and consistent with the claim. No contradictory evidence was found in official roll calls, bill texts, state/federal statutes, FEC/CRP filings, governor/Congress records, or reputable outlets.",True,"The claim's verifiability and timeframe are unclear, and a reliable source is missing to support the statement.",,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,,Error: prefix_allowed_tokens_fn param is forbidden with LMFormatEnforcer.,True,"fallback_weighted_majority | votes True=2, False=0, total=2 | weights(p,e,h)=(0.33,0.33,0.33) | margin=0.67"
