label,statement,subjects,superlabel
False,Phoenix Arizona is the No . 2 kidnapping capital of the world .,immigration,politics
True,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas - and by eight points .,polls,politics
False,President Ronald Reagan sent troops into conflict only in one circumstance which was in Grenada We were in a peacekeeping setting in Lebanon .,"foreign-policy,history,military",politics
True,Did you know US population growth is at its lowest since the Great Depression,"immigration,population",politics
True,The average student in Florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones .,education,politics
True,Since 1968 more Americans have died from gunfire than died in all the wars of this countrys history .,guns,politics
False,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house .,guns,politics
True,Says Secretary of State John Kerry when he was a senator flew to Managua and met with a communist dictator there Daniel Ortega and accused the Reagan administration of engaging in terrorism .,"foreign-policy,history,terrorism",politics
False,NATO is opening up a major terror division . . Im sure Im not going to get credit for it but that was largely because of what I was saying and my criticism of NATO .,"foreign-policy,military,terrorism",politics
True,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York .,"foreign-policy,israel,message-machine-2012",politics
True,In a majority of states you can now marry freely but can still be fired for who you love .,"civil-rights,gays-and-lesbians,states",politics
False,Say Oregon Reps . Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress .,candidates-biography,politics
False,About half of the presidents have been governors ; half of them senators .,"congress,corrections-and-updates,elections,history,states",politics
True,Says 88 Texas constables have died in the line of duty .,"crime,criminal-justice,history,public-safety,public-service",politics
True,Gov . Rick Scott cut the cost of prepaid college tuition by nearly $20000 .,education,politics
False,Barack Hussein Obama will . force courts to accept Islamic Sharia law in domestic disputes .,"islam,message-machine-2012",politics
True,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns .,"crime,guns",politics
False,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado .,"congress,terrorism",politics
False,The president said hes going to bring in 250000 (Syrian and Iraqi) refugees into this country .,"foreign-policy,immigration,terrorism",politics
False,Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support .,"immigration,pundits",politics
True,Newt Gingrichs immigration plan offers a new doorway to amnesty .,immigration,politics
False,Mr . Caprio is a career politician who has never worked in the private sector .,candidates-biography,politics
True,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had .,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record",politics
True,Hillary Clinton has taken over $800000 from lobbyists .,ethics,politics
False,Barack Obama has never even worked in business .,candidates-biography,politics
True,Says the Arizona immigration law expressly bans racial profiling .,immigration,politics
False,Says Gov . Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S . Mexico border .,"crime,immigration",politics
True,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed .,civil-rights,politics
False,We have more illegal immigrants here than we did five years ago .,immigration,politics
False,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name .,sports,politics
True,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic .,immigration,politics
True,Romney failed to take action against sanctuary cities in Massachusetts .,immigration,politics
True,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history .,afghanistan,politics
True,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships .,"marriage,message-machine,women",politics
True,Over 12000 school kids were arrested in Florida . It makes Florida the nations leader in that area .,"children,crime,education",politics
True,If Texas were a country our economy would rank # 10 . in the WORLD .,"corrections-and-updates,economy,states",politics
True,The Republicans have 2 percent of the Muslim vote .,religion,politics
True,[W]e see Americas prison population exploding with America having a greater percentage of its people behind bars than any other nation in the world,criminal-justice,politics
True,In Texas the No . 1 name for new male babies many of whom will vote one day is Jose .,"elections,immigration,pundits",politics
True,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people .,"candidates-biography,congress,foreign-policy,history,terrorism",politics
False,In the past year more than 20 percent of Americans have changed their mind about the war in Afghanistan . They conclude we shouldn t be there .,afghanistan,politics
False,In the last five years 28000 people have been killed along the U.S . Mexico border .,"crime,homeland-security,immigration",politics
False,Close to 30% of our federal prison population consists of illegal immigrants .,immigration,politics
False,The Family Research Council according to some government agencies is a terrorist group .,terrorism,politics
True,Says that in the 1985 election former Gov . Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history .,"elections,states",politics
True,You . said that Barack Obama was not ready to be commander in chief .,candidates-biography,politics
True,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200 .,campaign-finance,politics
True,The president has had 1540 of his nominations confirmed only four defeated .,legal-issues,politics
True,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East .,"foreign-policy,religion,terrorism",politics
True,Joe Biden voted against the first Gulf War . He opposed the surge . He wanted to partition Iraq .,iraq,politics
False,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed .,bipartisanship,politics
True,Military recruiting went on at Harvard every single day throughout the time (Kagan) was there .,"kagan-nomination,military,abc-news-week",politics
True,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court .,"criminal-justice,education",politics
True,The United States imprisons more than any nation in the world .,criminal-justice,politics
False,Says Marco Rubio is the one for an open border .,immigration,politics
False,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott .,"bipartisanship,campaign-finance,candidates-biography",politics
True,Says you need a photo ID to purchase Sudafed in Texas .,"elections,legal-issues",politics
True,Hillary Clinton supported NAFTA and permanent China trade . Pennsylvania lost thousands of jobs .,foreign-policy,politics
False,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated . She said she was satisfied with what was going on .,veterans,politics
True,President Barack Obama s initial response when we heard about the Christmas underwear bomber was to say that this was the act of an isolated extremist .,"homeland-security,terrorism,abc-news-week",politics
True,The Charleston S.C. shootershould have never been given a gun but the universal background check was not fast enough .,"corrections-and-updates,guns,homeland-security",politics
False,Sixty-five percent of the Iraqi people now say it s okay to shoot an American soldier .,iraq,politics
False,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted,elections,politics
False,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants .,immigration,politics
False,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info .,"criminal-justice,health-care,legal-issues,privacy",politics
True,During his tenure as mayor he saw Houstons crime rates drop to the lowest levels in more than 25 years .,crime,politics
False,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro .,"corrections-and-updates,obama-birth-certificate",politics
True,Since the federal Violence Against Women Act was adopted in 1994 cases of domestic violence have fallen by 67 percent .,"crime,criminal-justice,women",politics
True,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning .,"crime,homeland-security,legal-issues,terrorism,abc-news-week",politics
True,On legalizing illegal immigrants .,immigration,politics
True,Since 1978 college tuition nationwide has gone up something like four times the rate of inflation .,education,politics
True,Most of if not all of the [DeKalb school construction] projects always came in on or were under budget .,education,politics
False,(Palin) supported right-wing extremist Pat Buchanan for president in 2000 .,israel,politics
True,Washington D.C. had some of the strictest gun laws in the country . And when they passed them violence skyrocketed .,"crime,criminal-justice,drugs,government-regulation,guns,public-safety",politics
False,What is the proper collective noun for a group of baboons Believe it or not . . . a Congress,"animals,congress,history,polls",politics
False,Thompson voted against $250000 caps on damages (and) almost anything that would make our legal system fairer .,legal-issues,politics
True,Immigrants are more fertile .,immigration,politics
True,The proposed education changes will not cut one teacher s pay .,education,politics
True,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law .,"civil-rights,crime,guns",politics
False,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil .,terrorism,politics
True,Top U.S. intelligence officials have toldevery member of Congress including the president were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq .,"iraq,terrorism",politics
True,In July 1996 Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital .,candidates-biography,politics
True,Nobody has played clips over and over . of President Obama (saying) If they bring a knife to the fight well bring a gun .,"candidates-biography,pundits",politics
False,The people of Rhode Island dont want same-sex marriage .,"civil-rights,gays-and-lesbians,marriage,polls",politics
False,This year in Congress (Connie Mack IV) has missed almost half of his votes .,candidates-biography,politics
False,1/3 of our kids drop out (of high school) cannot go to college or start a career .,"corrections-and-updates,education",politics
False,Not even old Gen . Eisenhower saluted military personnel as president .,"history,military",politics
False,You cant get on an airplane but more than 2000 people on that list have been able to buy a gun .,"guns,terrorism",politics
False,You cant check out a library book without a photo ID .,legal-issues,politics
False,Says that Starbucks took Christmas off of their brand new cups .,religion,politics
True,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch .,sports,politics
True,The House of Representatives has never passed a resolution of disapproval to condemn a member s behavior .,history,politics
True,We are younger than our competitors and this is entirely because of immigration .,immigration,politics
True,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement .,education,politics
True,The policy mistakes that . the Clintons made got us in large degree to the situation that we are in today with mass incarceration .,criminal-justice,politics
False,In the class of 1968 at Patrice Lumumba University in Moscow Mahmoud Abbas was one of the members of that class and so was Ali Khamenei . And thats where they first established relationships with the young Vladimir Putin .,"foreign-policy,history",politics
True,Last week the Texas State Board of Education (SBOE) led by Rick Perrys appointee voted to remove Thomas Jefferson from social studies textbook standards . Thats right . Thomas Jefferson . was deleted from a list of historical figures who inspired political change .,education,politics
True,You know we can t just pull out now . The truth of the matter is : If we started today it would take one year one year to get 160000 troops physically out of Iraq logistically .,iraq,politics
True,Says that while Foster was mayor Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it .,"florida,states",politics
True,Says Texas has 11 different felonies you can commit with an oyster .,"crime,criminal-justice,food-safety",politics
True,There are more people living in this country who were not born here than at anytime in the history of the country .,immigration,politics
True,Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war .,foreign-policy,politics
True,As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops .,"congress,federal-budget,history",politics
False,Sheila Jackson Lee of Texas said : Hey all you wrinkly white-aged has-beens : Its time for you to die and let the next generation have your spot on the planet .,"candidates-biography,diversity,campaign-advertising",politics
True,Since Republicans took over after the 2010 election the graduation rate in Wisconsin has gone from 86 percent to 88 percent . The black graduation rate has gone from 60 percent to 65 percent . The Latino graduation rate has gone from 65 percent to 71 percent .,education,politics
False,It has been estimated that nearly 40 percent of all guns sold in America are sold by private unlicensed sellers either online or through gun shows .,guns,politics
True,2008 was the deadliest year of the war (in Afghanistan) for American forces .,"afghanistan,military",politics
True,Florida teachers are already paid $5000 below the national average .,education,politics
True,Since Rick Perry became governor Texas has gone from 46th in the country to 50th in the population that graduates from high school .,"education,new-hampshire-2012",politics
True,Says Amanda Fritz manages less than 5 percent of city operations .,city-government,politics
True,Americans in the last 30 years have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse not better .,education,politics
False,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue .,"crime,ethics",politics
True,Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders terrorists child predators and abusers to carry concealed weapons across state lines .,"crime,guns,legal-issues,public-safety",politics
True,I haven t missed a vote since 1993 .,history,politics
True,Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools .,education,politics
False,The Supreme Court cant overrule the other two branchesof government .,"history,supreme-court",politics
False,Roughly 25% of RI has a criminal record,"crime,criminal-justice,jobs,labor,legal-issues",politics
True,Nathan Deal cut the HOPE scholarship program so that literally 100000 Georgians will not be able to go to college or get technical training that they so badly needed to raise - you know give them a chance at a good job .,education,politics
False,I m probably one of the four or five best-known Americans in the world .,candidates-biography,politics
False,We are accepting more legal immigrants than we ever have in the history (of the United States.),immigration,politics
True,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure .,"foreign-policy,pundits,terrorism",politics
True,Hillary Clinton starts off with 47 percent of the country against her .,elections,politics
True,Groups that receive foreign money are spending huge sums to influence American elections .,"campaign-finance,corporations,abc-news-week",politics
True,We know that Saudi Arabia started al-Qaida .,terrorism,politics
True,Says Williamson County Attorney Jana Duty has never prosecuted a single adult felony case .,candidates-biography,politics
False,The fundraising numbers are in and our grassroots support is unmatched,"campaign-finance,elections",politics
False,Obama voted to cut off funding for our American troops on the battlefield .,iraq,politics
True,The so-called defense minister of the Peoples Republic of Donetsk . actually posted a bragging social media posting of having shot down a military transport . And then when it became apparent it was civilian they pulled it down from social media .,"foreign-policy,military",politics
True,Says he passed eight measures including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas .,"candidates-biography,homeland-security,immigration,legal-issues,transportation",politics
False,These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans .,"health-care,new-hampshire-2012,abc-news-week",politics
True,Before our last three presidents you have to go back to the 1800s early 1800s to find three presidents in a row being consecutively re-elected .,"elections,history",politics
True,The most recent Associated Press poll has Nader-Gonzalez at 6 percent without any national coverage against McCain and Obama .,elections,politics
False,There have even been Republican congressmen who have said If you give us more money we dont know where we would even put additional Border Patrol agents .,immigration,politics
False,ISIS camp a few miles from Texas Mexican authorities confirm .,"immigration,military,terrorism",politics
False,Say New Jersey Reps . Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress .,candidates-biography,politics
False,Says Scott Walker brags a lot about having an independent agency investigate police shootings . Of course he didnt fund it .,"city-government,civil-rights,criminal-justice,public-safety,state-budget",politics
True,What the Arizona law does is make a state crime out of something that already is . a federal crime .,immigration,politics
False,When the country was founded Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today : Yeah were open .,"history,pop-culture,pundits,religion",politics
True,In Miami-Dade County we spend at our school system over $20 million every year educating recent immigrants .,"education,immigration",politics
False,Says Kay Bailey Hutchison voted for sanctuary cities .,immigration,politics
True,McCain hired some of the biggest lobbyists in Washington to run his campaign .,"elections,ethics",politics
True,When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan the Democrats didnt make that a partisan issue .,"congress,history,terrorism",politics
True,This is the first time a party has picked up multiple seats during a regular election since the mid 1980s making this the largest majority of any party in more than 25 years .,"elections,history",politics
False,Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention .,elections,politics
False,Crime is rising .,"crime,criminal-justice",politics
False,Says a Portland school gives Muslim students their own school provided prayer room prayer rugs and lets them out of class five times a day to pray to Allah .,religion,politics
True,The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon .,guns,politics
False,When President then candidate Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign they refused to do it .,"campaign-finance,transparency",politics
False,You wonder why you dont see Rand Paul as much ; hes still shopping for his billionaire . Hes like the only one who hasnt found a billionaire to fund his super PAC .,campaign-finance,politics
True,In the entire public school system in Camden last year only three students graduated college ready .,education,politics
False,Under the Hate Crimes bill any pastor preacher priest rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime .,crime,politics
True,Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president .,immigration,politics
True,American voters remain steadfast in their support for immigration reform with a path to citizenship with more than 70 percent who want to see reform passed this year .,immigration,politics
True,Says State Rep . Kristi Thibaut was an ACORN lobbyist .,candidates-biography,politics
True,Amazing fact : Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year .,"congress,congressional-rules",politics
True,Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley .,"candidates-biography,criminal-justice,elections,legal-issues,campaign-advertising",politics
False,Says a tweet he sent out wasnt saying check out a sex tape . It was just take a look at the background of Alicia Machado .,candidates-biography,politics
False,Aphotograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background .,"candidates-biography,history",politics
False,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control .,immigration,politics
False,A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents .,"education,state-budget,states",politics
True,Gov . Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10000 a month .,"ethics,transparency",politics
True,The DNC says McCain flip-flopped on whether the Iraq War would be easy .,iraq,politics
True,In every ethics case that has resulted in a formal sanction theres been an investigative subcommittee thats been established first .,ethics,politics
False,59 percent of Americans today believe that Barack Obama is still a Muslim .,"candidates-biography,diversity,polls",politics
False,On whether the United States should intervene in Libya .,"foreign-policy,military",politics
True,In 2006 Bernie Sanders voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants .,immigration,politics
False,Says she was the first in her family to go to a four-year college .,education,politics
True,There was a Gallup poll in Egypt last year and 70 percent of Egyptians dont want our money .,"foreign-policy,polls",politics
True,The truth of the matter is that during my administration the FBI s crime statistics show that violent crime was reduced in Massachusetts by 7 percent .,crime,politics
True,Right now 50 percent of Florida students leaving high school cannot read at grade level .,education,politics
True,Says Republican Sen . John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states .,elections,politics
True,Youre in more trouble if you leave your pet in the car than if you leave your child in the car .,"children,criminal-justice,public-safety",politics
False,SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders .,"crime,voting-record",politics
True,On letting Occupy Atlanta protesters stay in Woodruff Park .,"occupy-wall-street,public-safety",politics
True,There are more African American men in prison jail on probation or parole than were enslaved in 1850 .,"civil-rights,crime,criminal-justice,marijuana",politics
False,A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry setting the stage for full-scale gun confiscation .,"guns,human-rights,trade",politics
False,When we took office let me remind you there was virtually no international pressure on Iran .,foreign-policy,politics
True,In the last few months alone we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror .,afghanistan,politics
True,There have been at least 100 shootings each year [Angel Taveras] has been mayor of Providence .,"candidates-biography,crime,guns,job-accomplishments,campaign-advertising,public-safety",politics
True,Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party .,voting-record,politics
False,One in four inmates is an illegal immigrant .,immigration,politics
True,I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months .,florida,politics
False,Kendrick Meek was in Florida in taking tobacco cash and then opposed a tax on cigars that would have helped pay for childrens health care .,"campaign-finance,candidates-biography",politics
True,Paul Ryan got his start in politics as a young staffer just out of college working for then-Congressman John Kasichs Budget Committee .,"candidates-biography,congress,elections",politics
False,Race to the Top grants require participating states to adopt the Common Core standards as a condition for receiving federal funding .,education,politics
True,President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally .,immigration,politics
True,McCain sought the political support of minister John Hagee who believes Hurricane Katrina was God s punishment for gay rights and called the Catholic Church the Antichrist and a false cult .,religion,politics
False,Says U.S. Senate rival Tammy Baldwin supports a tax increase that President Obama says would cost middle-class families $3000 per year .,"congress,families,message-machine-2012,taxes",politics
True,I would be the first Republican senator elected in New Jersey in 41 years .,"congress,elections",politics
False,President Bush never did one interview with the New York Times during his entire presidency .,"bush-administration,pundits,transparency",politics
False,Mr . Trump is self-financing his campaign so we dont have any donors .,campaign-finance,politics
True,Nearly 2000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts .,education,politics
False,Wisconsin has only one county Dane thats hand counting the votes in the 2016 presidential recount .,"county-government,elections",politics
False,Says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi .,"foreign-policy,government-efficiency,history,terrorism",politics
True,Rick Perry had planned to retire from the legislature until his best friend David Weeks and I talked him into switching parties and running for the GOP nomination for agriculture commissioner .,"candidates-biography,elections",politics
True,Out of 150000 tenured teachers in the last 10 years only 17 have been dismissed for incompetence .,education,politics
True,In 1929 the Secretary of State shut down a program that was collecting information to protect America because it was unseemly but that move led to millions and millions of deaths in World War II .,"foreign-policy,history",politics
True,Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV .,elections,politics
True,Vietnamese is the third most commonly spoken language in Texas .,"population,states",politics
False,What we have now is the most generous in my opinion good time bill in the entire United States .,"crime,criminal-justice,legal-issues,public-safety,states",politics
False,Barack Obama wrote a thesis at Columbia University in which he criticized plutocratic thugs and said the Constitution gave Americans the shackles of hypocrisy .,"candidates-biography,legal-issues",politics
False,Youll find blacks in almost every regiment throughout the South who fought right alongside white Southerners during the Civil War .,history,politics
True,Democrats have lost more than 900 state legislators since Barack Obama has been president .,"candidates-biography,elections",politics
True,Carly Fiorina shes against banning assault weapons .,"guns,message-machine",politics
True,Joe Biden brought Republicans and Democrats together to pass the 1994 crime bill putting 100000 cops on the streets and starting an eight-year drop in crime across the country .,crime,politics
True,Before the terrorist attacks in Benghazi the State Department not only failed to honor repeated requests for additional security but instead actually reduced security in Libya .,"foreign-policy,military,terrorism",politics
True,Says Donald Trump has defended World War II internment camps .,history,politics
True,In 1999 the NRA leadership in Washington pretty much the same people intact were for (expanded background checks.),guns,politics
False,Turkey is an Arab country .,"foreign-policy,pundits,abc-news-week",politics
False,Newt Gingrichs presidential campaign has exactly the same challenges as Ronald Reagans successful 1980 bid .,history,politics
False,Accuses President Barack Obama of making contradictory claims about efforts to kill Osama bin Laden in 2008 and 2011 .,"homeland-security,military,terrorism",politics
True,8 years of the Clintons major losses for Democrats across the nation .,elections,politics
True,Says President Barack Obama was responsible for the assassination of at least four American citizens in drone strikes .,"foreign-policy,legal-issues,terrorism",politics
True,It used to be the policy of the Republican Party to get rid of the Department of Education . We finally get in charge and a chance to do something so we double the size of the Department of Education .,education,politics
False,The ACLU didnt call for an investigation (of the Newark police department) they called for an immediate federal monitor .,"crime,ethics",politics
True,Says a highway was closed in El Paso because of bullets flying across the border .,"crime,drugs,homeland-security",politics
True,Eight out of the nine states with competitive Senate races Hispanics make up less than 10 percent of the electorate .,"diversity,elections,population",politics
False,We didnt go out and take information from the Hillary Clinton campaign .,elections,politics
False,If you actually took the number of Muslims [sic] Americans we d be one of the largest Muslim countries in the world .,religion,politics
False,Says Nikita Khrushchev brought an extra shoe to a United Nations session in 1960 which he banged on the desk in protest .,history,politics
True,Every president since Franklin Delano Roosevelt has had fast-track trade authority .,"congress,congressional-rules,foreign-policy,history,trade",politics
True,Says Donald Trump wants to deport our Dreamers .,immigration,politics
False,Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States .,"homeland-security,terrorism",politics
True,The majority of Americans are conservatives .,"corrections-and-updates,polls",politics
True,In France they have a (surveillance) program a thousandfold more invasive than the United States .,"homeland-security,terrorism",politics
True,One-half of undocumented workers pay federal income taxes which means they are paying more federal income taxes than Donald Trump pays .,"candidates-biography,immigration,taxes",politics
True,Weve got a 1000 National Guard troop request thats been in front of this president for over a year and no response .,immigration,politics
True,Says veterans disability claims backlog doubled in Obamas first term .,veterans,politics
True,Romney adviser admits Romneycare was blueprint for Obamacare .,"candidates-biography,health-care,message-machine-2012",politics
False,Its hard to get people in Portland to vote yes on ballot measures especially when theres opposition .,"campaign-finance,voting-record",politics
False,The usacc sent a letter to their subscribers apologizing for their BAD coverage of me .,elections,politics
True,I have 2 and a half million more votes than he (Sanders) does .,elections,politics
False,I am the first Latina to run for governor of Texas .,"candidates-biography,diversity,elections,history",politics
False,In Ohio we invested in our children raising school funding by 5.5 percent in the last budget .,education,politics
False,In 2007 when Nancy Pelosi met with President Assad of Syria nobody got upset .,"bush-administration,foreign-policy,terrorism",politics
False,For the past eight years Gov . Carcieri and Mrs . Carcieri would host the lighting of the State House Christmas tree .,religion,politics
True,Rhode Island has the the second-most heavily deployed National Guard in the United States .,"afghanistan,iraq,military,states",politics
False,Says Demond Means turnaround district superintendent for Milwaukee Public Schools said the district needs to be gutted .,education,politics
True,SaysVirginia RepublicanScott Taylor has been convicted in at least four different courts across the country at times failing to even appear and having a warrant issued for his arrest .,campaign-advertising,politics
True,Nearly 90% of Travis County government races will be settled by the time of the Democratic primary .,"county-government,elections",politics
False,Says Mahatma Gandhi once said First they ignore you then they laugh at you then they fight you then you win .,history,politics
