label,statement,subjects
mostly-true,Says Newt Gingrich made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.,abortion
barely-true,U.S. global AIDS spending helped reduce political instability and violence by 40 percent in recipient nations.,"foreign-policy,public-health"
half-true,Atlanta is the No. 1 trading point for sexual slavery in America. Between 100 and 200 girls are sold into slavery in Atlanta every month.,children
true,"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.","abortion,taxes"
barely-true,There were 36 states where Republicans who were in charge refused to implement a state (health insurance) exchange.,"health-care,supreme-court"
true,Texas leads the nation in the percentage of residents without health insurance.,health-care
pants-fire,"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",health-care
pants-fire,"Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.","health-care,medicare"
false,"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.","hunger,population"
mostly-true,More people die from medical misadventures than firearm accidents nationally and in Florida.,"guns,health-care"
half-true,Charlie Crist has six different positions on ObamaCare.,health-care
mostly-true,Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.,"health-care,legal-issues"
false,On repeal of Wisconsins smoking ban,public-health
half-true,"For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.","disability,state-budget"
true,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,climate-change
mostly-true,"14,000 Americans . . . lose their health insurance every single day.",health-care
half-true,The Affordable Care Act is bringing the cost of health care in our country down.,health-care
mostly-true,"As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it.","drugs,marijuana"
half-true,The Chris Hani Baragwanath in South Africa is the worlds third-biggest hospital.,"health-care,public-health"
false,"The most likely triggering cause of (microcephaly) is the DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women.",public-health
mostly-true,Bill McCollum holds the same position on (embryonic stem cell research) as Barack Obama.,"abortion,science"
true,The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,public-health
barely-true,Says his executive order requiring young girls to be vaccinated against HPV wasnt mandatory.,"families,health-care"
half-true,"Low-flow toilets can cost homeowners up to $1,000 each.",environment
false,Jim Renacci voted repeatedly to end Medicare.,"health-care,medicare"
mostly-true,"Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor.","health-care,pundits"
mostly-true,Wind powers nearly 13 million homes across the country.,environment
barely-true,Health insurance companies pay CEOs $24 million a year,"corporations,health-care"
mostly-true,Says a lawmaker seeks to defund Planned Parenthood for cutting children into small pieces.,abortion
true,The No. 1 issue that the American people care about is getting America back to work.,"economy,health-care"
mostly-true,"Since the United States began negotiations with Iran, thats probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.","foreign-policy,nuclear"
barely-true,"At a minimum, 40 percent of those who view child pornography end up molesting children as a result.","children,crime"
true,Some businesses in Oregon are having to shrink back their businesses as a result of the law.,"corrections-and-updates,health-care"
pants-fire,Says 11 straight years of no major hurricanes striking land in the United States bores a hole right through the whole climate change argument.,climate-change
half-true,"We spend more money on health care per capita in the United States than any other country in the world. Of the 30 developed countries in the world, we spend 2 1/2 times more than the average. Of the country that spends the second most per capita, Switzerland, we spend 175 percent more.",health-care
false,On abortion,"abortion,corrections-and-updates"
false,"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year.",abortion
true,The hour of sleep you lose during the change to daylight saving time might initially pose some health risks.,science
mostly-true,The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,health-care
barely-true,The IRS will have the ability potentially to deny or delay health care.,"health-care,taxes"
half-true,"The minute this proposal for near-beach oil drilling came up, I was against it.",oil-spill
half-true,The proposed Gogebic mine in northern Wisconsin could be extended as long as 21 miles.,environment
false,We spend twice as much per capita on health care as any other nation on Earth.,health-care
mostly-true,One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).,health-care
true,The city of Atlanta has either the highest or second-highest average water bills in the country.,"taxes,water"
barely-true,Rob Cornilles has disputed for two years a news story that said he said he would cut Social Security and Medicare programs before trimming the U.S. defense budget.,"medicare,social-security"
half-true,#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.,"education,health-care"
mostly-true,"Says an array of statistics show that conditions in some parts of Baltimore rival that of the West Bank in Palestine, North Korea, and distressed cities in Nigeria, India, China and South Africa.","poverty,public-health"
true,The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.,drugs
true,Barack Obama voted against born alive legislation in Illinois that was virtually identical to the federal law.,abortion
half-true,President Obama is attacking Paul Ryan on Medicare even though it is his administration with the help of Jim Langevin who cut $716 billion from Medicare.,medicare
mostly-true,"Ed Gillespies 2006 book promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.","medicaid,taxes"
barely-true,When Republican extremists tried to take away abortion rights Blake Rocap stopped them.,"abortion,candidates-biography"
true,Department of Veterans Affairs doctors are prohibited from recommending medical marijuana.,marijuana
half-true,"The United States is the only major country on earth that doesnt guarantee health care to all people as a right, not a privilege.",health-care
half-true,Says Texas wildfires are linked to climate change.,"climate-change,environment"
pants-fire,"If the Stamp Farm wind turbine is built, the health risk of flicker impact created by shadows of blades of turbines poses real and significant health risks, particularly seizures.","energy,environment"
false,Gov. Crist's veto also clears the way for taxpayer funding of abortion in Florida.,abortion
false,"Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.",health-care
false,"If we had been on Obamacare and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment.",health-care
false,"Says if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.","health-care,medicare"
false,"Barack Obama's plan calls for ""mandates and fines for small businesses.""",health-care
false,Says area near proposed northern Wisconsin iron ore mine is 15 hours away from where public hearing on mining was held.,"environment,government-regulation"
pants-fire,"(U.S. Reps.) Paul Ryan, Sean Duffy and Reid Ribble are shutting down town hall meetings, or making their constituents pay to attend them.",medicare
pants-fire,"Rick Perry thinks injecting 11- and 12-year-old girls with a controversial drug (the HPV vaccine), without a parents consent, is a good idea.","children,message-machine"
mostly-true,"On the night of the Iowa caucuses, Obama promised the nation that he would do health care reform focused on cost containment, he opposed an individual mandate, and he said he was going to do it with Republicans.",health-care
half-true,Says she helped lead the launch of curbside recycling.,"city-government,environment"
barely-true,"Barack Obama ""wants the government to take over health care, spend hundreds of billions of dollars of new money for health insurance for everyone.""",health-care
barely-true,Says Bill Nelson voted to cut $700 billion out of Medicare to pay for Obamacare.,medicare
half-true,On abortion,"abortion,candidates-biography"
half-true,David Perdue proposes rolling back the clock on womens health care.,health-care
false,SaysPresident Obama and his allies in Congress gave power to control Medicare patients health care decisions to a commission of 15 unelected bureaucrats in Washington.,health-care
false,Says Planned Parenthood provides about 140 visits for prenatal care in each state.,health-care
half-true,"500,000 people have signed up for #Obamacare.","health-care,medicaid"
mostly-true,No family earns too much to qualify for Oregon Healthy Kids program.,"children,health-care"
mostly-true,"A DeKalb sewer project will create up to 4,000 direct jobs per year at peak production, many of which will be set aside exclusively for DeKalb residents.",water
true,"You cant give a child an aspirin in school without permission. You cant do any kind of medication, but we can secretly take the child off and have an abortion.","abortion,health-care"
half-true,On delaying a health care mandate on business.,"health-care,jobs"
mostly-true,Romney would turn Medicare into a voucher program.,"debates,medicare"
true,"Rick Scott ""was forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine.""","candidates-biography,health-care"
false,Says the federal government restricts how much salt we can put on our food.,food-safety
true,Says he couldnt keep a 42-inch redfish he caught because of fishing rules.,oil-spill
true,Right now we are at 90 percent health insurance covered. Thats the highest weve ever been in our country.,health-care
barely-true,"Its costing every American who is insured $1,100 to pick up the cost of uncompensated care that goes on at the emergency room.",health-care
false,Says some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.,"abortion,crime"
half-true,"Says Alison Lundergan Grimes supports Obamacare, which cuts $700 billion from seniors Medicare.","health-care,medicare"
mostly-true,"Obamacare will provide coverage for abortions, despite the presidents commitment that it would not.",abortion
mostly-true,"Says 31 percent of Texas physicians accept all new Medicaid patients, down from 67 percent in 2000.",medicaid
false,Says Planned Parenthood CEO Cecile Richards was forced to concede that 86 percent of Planned Parenthoods revenue is from abortion.,abortion
mostly-true,Says some Georgians can get health insurance for $105 a month.,health-care
mostly-true,Ohios Planned Parenthood operations received millions of taxpayer dollars via federal grants in 2010 and 2011.,abortion
false,Says President Obamas deal allows Iran to produce a nuclear weapon.,"foreign-policy,nuclear"
barely-true,"Says Romney wrote in the first edition of his book that his health care plan should be expanded nationwide and then, You took it out of your book.",health-care
false,We have over 300 state agencies. Forty-five of those agencies are related to health care.,health-care
false,The premiums on Medicares prescription drug program have fallen almost every year since it began.,"health-care,medicare"
false,"Says Hillary Clinton believes that all abortions should be legal, even on the due date of that unborn child.","abortion,candidates-biography"
barely-true,"Says any attempt to try to compare the Massachusetts health care law with the federal health care law is completely, intellectually dishonest. Governor Romney did not raise one tax in doing what he did.",health-care
false,Passage of a referendum on an aquarium for Clearwater means NO future funding for our neighborhoods.,"city-budget,water"
mostly-true,Health insurance is more expensive in Massachusetts than anywhere else in the country.,"health-care,states"
barely-true,Says Debbie Wasserman Schultz voted repeatedly to send terminally ill patients to prison.,marijuana
pants-fire,"Sen. Sherrod Browns vote helped pass Barack Obamas job-killing health care law, which slapped small businesses throughout Ohio with a $500 billion tax increase.","health-care,taxes"
barely-true,"There are nearly 500,000 registered sex offenders across the country and at any one time about 100,000 are unaccounted for.","children,crime"
barely-true,"Says under the Affordable Care Act, New Jerseys new (Medicaid) enrollees wont qualify for the matching federal funds simply because we added them onto the rolls before 2014.","health-care,medicaid"
true,Says Central Texas river water sent to downstream rice farmers in 2011 equaled about three years worth of Austins water use.,water
pants-fire,Says Jill McCabe supports late term abortions. Larger baby parts are more profitable.,abortion
barely-true,Says Joe Biden went to China and said that he sympathized and wouldnt second-guess their one-child policy of forced abortions and sterilizations.,"abortion,china"
mostly-true,"When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.","health-care,state-budget"
barely-true,"In 1913, it was legal to mail children.","children,history"
false,The $5 billion website for Obamacare never worked. Still doesnt work.,"government-efficiency,health-care"
barely-true,Keystone means unlocking the Canadian tar sands.,"energy,environment"
half-true,"Says Austins treated wastewater, put into the Colorado River, is of higher quality than water the city takes from the lake for public use.","environment,water"
false,"An amendment to the House health reform bill ""puts new restrictions on women's access to abortion coverage in the private health insurance market even when they would pay premiums with their own money.""","abortion,health-care"
true,"A shocking 20 veterans are committing suicide each and every day, especially our older veterans.","health-care,veterans"
true,The fastest-growing part of the Pentagons budget are health care expenses.,"health-care,military"
mostly-true,The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.,"crime,health-care"
pants-fire,Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly.,health-care
barely-true,Its warmer on Mars than it is in parts of the United States and Canada during the polar vortex.,"space,weather"
pants-fire,"Blue Cross new $90-million Providence headquarters ""was outfitted with $25 million in decor.""",health-care
false,"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust.",environment
pants-fire,I lost my health insurance and my doctor because of Obamacare.,health-care
true,Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals in 2014.,health-care
mostly-true,"Because of the health care law, by 2017, we will be funneling over $100 billion annually to private insurance companies.",health-care
false,We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.,"energy,nuclear"
false,"Says the Internal Revenue Service estimated it must hire 16,500 agents at a cost of $10 billion to the taxpayer to enforce the federal health care overhaul.","health-care,taxes"
false,What they will do is socialized medicine.,health-care
true,Says Rep. John Katko promised he wouldnt vote to defund Planned Parenthood and since hes been in office hes done that four times,"abortion,congress"
half-true,Says Katie McGintyactually agrees with Hillary Clinton and the most liberal wing of the Democrats on everything.,"environment,trade"
mostly-true,Seven more people will die each and every day until the Legislature ratifies these (pain clinic) rules that are being approved by the Board of Medicine and the Department of Health.,drugs
half-true,Says Hillary Clinton negotiated the first agreement ever where China and India officially committed to reduce their emissions.,"climate-change,foreign-policy"
half-true,"Says Wendy Davis, born into difficult circumstances, was the daughter of a single mother and a teenage mother herself.","abortion,candidates-biography"
true,Preventive care does not save the government money.,"health-care,pundits"
false,A 5-cent charge on paper bags is a tax.,"environment,taxes"
mostly-true,Says Jeff Wentworth was the only Republican to vote against the Texas measure requiring women to have a sonogram before receiving an abortion.,abortion
barely-true,"Today in America, between 40 and 50 percent of all African-American babies, virtually 1-in-2, are killed before they are born.",abortion
true,Says that the new financial services law requires 358 regulatory filings.,"consumer-safety,financial-regulation"
true,"With one stroke of his pen, President Bush has denied health insurance to 3.8 million kids who were due to get it under this bipartisan expansion of the Children's Health Insurance Program.",health-care
false,There is a Republican plan to end Medicare.,"health-care,medicare"
barely-true,Any government-run 'public' plan ... forces more employers to drop employee coverage due to rising costs and pay an additional 8% payroll tax for each worker.,health-care
true,Overdosing is now the number one accidental killer in our Commonwealth.,drugs
pants-fire,To deprive underprivileged children of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.,"children,education"
pants-fire,"The Dog Meat Festival in Yulin, China, threatens global public health.","animals,public-health"
false,The Ryan budget gets rid of Medicare in 10 years and turns it into a voucher program.,"health-care,medicare"
false,"Despite claims that you can keep the health care plan you like, the Obama Administration has predicted that as many as 7 out of 10 Americans with employer-provided health coverage could lose their current health plan.","health-care,workers"
mostly-true,Texas is LAST (50th) in spending for mental health care.,"health-care,state-budget"
true,"When the salmonella source was finally identified, FDA officials had to wait for industry approval before they could go live with the [peanut] recall.",consumer-safety
barely-true,"As governor, Mitt Romney raised nursing home fees eight times.","medicaid,message-machine-2012"
pants-fire,"Says if Texas abortion measure passes, someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.","abortion,health-care"
mostly-true,The Paris Agreement is by far the largest number of countries ever to sign an international agreement on a single day.,"climate-change,foreign-policy"
barely-true,"Every 1 percent increase in the cost of health insurance today causes about 30,000 Georgians to be uninsured.",health-care
barely-true,The Obama administration offered no magic number of people that needed to sign up for health care on the marketplaces.,health-care
mostly-true,Malawi has just 300 doctors for 16 million people.,public-health
false,"A Medicaid provision added to the Senate health carereform bill ""is not a special deal for Nebraska.""",health-care
mostly-true,A majority of Americans still oppose this health care bill.,health-care
barely-true,"Florida's legal challenge of the federal health care bill is ""bipartisan.""",health-care
true,"The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.",health-care
true,More than half of the births in Texas are paid for by Medicaid.,"children,medicaid"
false,"President Barack Obama suggested on national TV that the Democratic health care bill will have government decide that a healthy, 100-year-old woman in need of a pacemaker should take a pain pill instead.",health-care
mostly-true,State agencies have not identified one single instance where groundwater has been damaged due to hydraulic fracking.,"energy,environment"
half-true,"Says the Texas Forest Service planted 6,000 trees in the Dallas/Fort Worth area before the Super Bowl for unknown reasons at an unknown cost.",environment
mostly-true,Texas leads the country in drunk driving fatalities.,"drugs,public-safety"
true,Says in Oregon only 41 percent of adults have ever been tested for HIV.,public-health
barely-true,"Every year in the United States between 3,000 and 4,500 severe vaccine reactions are reported to the Centers for Disease Control. Not mild reactions. Severe reactions that land somebody in the hospital, the intensive care unit or cause a permanent disability or death.","health-care,public-health"
false,"When the Milwaukee County mental health facility is full, cops sit out there in their squad cars with a mentally ill patient and sometimes spend an entire shift out there doing that.","county-budget,health-care"
barely-true,"Says Abortion clinics in Oregon, as in most states, have no state oversight and are not held to basic health or safety standards.",abortion
true,"We closed that plant down. It was a $27 million-dollar plant, operating full steam, and we closed it down.","education,environment"
mostly-true,The vast majority of people in this country are keeping their (health insurance) plan.,"health-care,pundits"
half-true,We are seeing kids who are healthier.,"children,public-health"
barely-true,Kathleen Peters refuses to take a stand to repeal Obamacare.,health-care
barely-true,Says $500 billion in Medicare cuts are coming.,medicare
half-true,Says required state septic inspections would cost septic tank owners $100 to $150 every five years.,environment
true,On mandatory ultrasounds before abortions.,abortion
true,Uncompensated care has gone down by 30 percent just in the first few months of Medicaid expansion in the states that adopted it.,"medicaid,state-budget"
false,Florida seniors are exempt from losing Medicare Advantage under the federal health care bill.,medicare
half-true,"Health care reform ""requires the use of federal dollars to fund abortions through the government-run health plan.""","abortion,health-care"
false,"Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.","health-care,workers"
barely-true,Says Mark Pryor continues to insist that Obamacare is an amazing success.,health-care
barely-true,The folks in Washington are already forcing you to buy government health care.,health-care
true,The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance.,health-care
false,Drug overdoses are now the second-most common cause of death in New Hampshire.,"drugs,states"
false,Says 70 percent of Virginias Medicaid cost is for seniors in nursing homes.,medicaid
pants-fire,Says Arkansas Republican Rep. Tom Cotton voted to provide Congress with taxpayer-funded health care for life.,health-care
false,Debbie Jackow unlike her opponent ...WILL NOT de-fund the 20/20 land program.,"county-budget,environment"
half-true,The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.,"children,crime"
mostly-true,Says Donald Trump said he intends to open up additional areas off the coast to oil drilling during the campaign.,environment
mostly-true,"Oregon families pay an extra $1,400 a year on higher insurance premiums to cover those who do not have insurance.",health-care
false,"The measles vaccine has killed 108 people in the last decade, while no one has died of measles.","health-care,public-health"
pants-fire,"A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases.","health-care,women"
mostly-true,"This governor has cut funding repeatedly for people who have AIDS, who need drugs to save their life.","health-care,state-budget"
half-true,Congress gave an unelected board the power to deny care to seniors.,"health-care,medicare"
half-true,The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.,"health-care,polls"
true,"When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state.","health-care,women"
false,Says Hillary Clinton is proposing destroying Medicare for seniors.,"health-care,medicare"
mostly-true,The IRS has been specifically forbidden ... from ever actually pursuing either civil or criminal remedies for people who dont purchase health insurance.,"health-care,pundits"
false,Florida is the first state requiring drug testing to receive welfare!,"drugs,poverty"
false,200 consumer laws were destroyed in 2011 when Gov. Scott Walker signed Act 92.,"consumer-safety,legal-issues"
false,"Says that in 2007, Oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data.","children,public-health"
pants-fire,"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain.""",health-care
barely-true,We actually have not required in this law that you carry health insurance.,health-care
pants-fire,States still face a mandate to expand Medicaid coverage under President Obamas health care reform law.,health-care
pants-fire,"Says Nancy Pelosi said, Waiting long hours in the emergency room will allow you to make new friends!",health-care
mostly-true,Obamas position on nuclear arms is a march toward global zero.,"foreign-policy,nuclear"
true,"A family of four can make up to $88,000 a year and still get a subsidy for health insurance under the new federal health care law.",health-care
true,"Says Sen. Rand Paul, R-Ky., has stated that supporting the right to health care ... means you believe in slavery.",health-care
barely-true,"Says Bernie Sanders health care plan would empower Republicangovernors to take away Medicaid,to take away health insurance for low-income and middle-income working Americans.",health-care
pants-fire,"In 2006, Planned Parenthood performed more prevention services and cancer screenings than abortions, but in 2013, there were more abortions.","abortion,women"
half-true,A proposed amendment allows a teenager to get a recommendation for medical marijuana without the consent of a parent.,"health-care,marijuana"
true,Pregnant women trying to buy health insurance on their own are barred from maternity coverage because they have a pre-existing condition.,health-care
pants-fire,"Over 73% of all donations raised (from the ALS Ice Bucket Challenge) are going to fundraising, overhead, executive salaries, and external donations.","disability,health-care"
barely-true,Oklahomas Republican Gov. Mary Fallin signed a new law which makes you pay a special fee. It will essentially fine people for the crime of using solar power.,"energy,environment"
false,Millions could lose their health care coverage and be forced into a government pool under the new health care law.,health-care
true,Measles is one of the most common causes of child blindness worldwide.,"health-care,public-health"
pants-fire,Obamacare is . . . the largest tax increase in the history of the world.,"health-care,pundits"
barely-true,"When asked about bills in Congress important to the North Country, Derrick responded I just dont know enough about it.",health-care
false,"Oregons three largest employers, and 13 of the top 25, are health care providers.","economy,health-care"
barely-true,We get 30 percent of our oil from the Gulf (of Mexico).,"energy,oil-spill"
half-true,"The Congressional Budget Office analysis of the health insurance reform legislation says the bill ""cuts the deficit by $1.2 trillion in the second 10 years.""","federal-budget,health-care"
half-true,"Hillary Clinton is ""willing to have workers' wages garnisheed if they refuse to buy health insurance.""","health-care,workers"
half-true,"The House health care bill pays for ""about six years of program with a decade of revenue, with the heaviest costs concentrated in the second five years.""","federal-budget,health-care"
barely-true,Says Texas has the nations most uninsured residents.,health-care
false,U.S. Senate candidate Todd Akin was partly right that a womans body has a way of shutting down so that a pregnancy doesnt occur if shes raped.,abortion
mostly-true,The American Academy of Pediatrics supports banning guns.,"children,guns"
mostly-true,"This year, the Blackstone Valley Mayoral Academy became the first public school in Rhode Island history to have 100 percent of its elementary-age students proficient in reading on state assessments.","children,education"
false,Medicaid expansion could cost the Commonwealth of Virginia over $1 billion a year...,"medicaid,state-budget"
false,"The Democrats' health care bills would provide ""free health care for illegal immigrants.""","health-care,immigration"
pants-fire,99% of NJ voters do NOT support hunting.,"animals,polls"
false,For every single scientist that tells you (global warming is) happening and that its our fault...I can stack up another group of reports that say just the opposite.,"climate-change,environment"
false,Millions of Americans are paying more and getting less under Obamacare.,health-care
half-true,We spend a staggering amount of money on health care over $2-trillion and almost twice as much as any other country per person.,health-care
false,"Preventive care ""saves money.""",health-care
false,FACT: Nothing in #Obamacare forces people out of their health plans.,health-care
barely-true,76 percent of doctors support the use of medical marijuana,marijuana
true,Says Congressmen Paul Ryan and Todd Akin co-sponsored legislation to limit federal funding for abortion to victims of forcible rape.,abortion
false,"There are 300,000 babies born deformed every year in this country because of women who are alcoholics while they're carrying those children to term.",health-care
false,Says he got lobbied by a woman with late-stage cancer about vaccinating Texas girls against a virus that can cause cervical cancer.,"health-care,public-health"
false,Says House Republicans spent $50 million on 33 votes to repeal Obamacare.,"government-efficiency,health-care"
pants-fire,The children coming across the southern U.S. border were never examined after they got here and quarantined if they had a disease. They were just sent out across the country. Many of them had measles ... We now have an outbreak of it all because of our immigration policy.,"immigration,public-health"
