subjects,statement,label
taxes,The incoming govt has passed several major tax cuts for the rich.,True
homeland-security,Pentagon says no other nuclear threats facing the U.S.,True
education,The U.S. hasn't been doing well on education,False
climate-change,Human activity is a major contributor to the increase in global greenhouse gas levels .,True
crime,In fact the police used an anti-tracking device to catch the men,False
homeland-security,NSA will stop sharing data on some of the surveillance programs.,False
immigration,Obama and Clinton will not increase refugee numbers.,False
military,The military is the most powerful agency in the world.,True
health-care,"Obamacare may 've lowered insurance prices, but that may not make coverage better or cheaper for everyone",True
military,A senior US military official said Sunday that Iraq 's parliamentary elections had caused uncertainty among the public and political leaders but there was no immediate threat to peace talks.,True
veterans,The Obama administration has decided to offer the GI Bill to service members.,False
economy,Trump 's economic advisers say some of the numbers were wrong,True
welfare,Welfare is a social insurance program for those who are unemployed or in poor shape.,True
homeland-security,The Pentagon has outlined new plans for the national ballistic missile defense system.,False
environment,Israel wants to ban production of genetically modified crops,False
crime,a law to prosecute dangerous offenders,True
taxes,Some say taxes are a joke.,False
foreign-policy,The Clinton Foundation has given more than $32 million to a study in Iraq.,False
gun-control,CNN says 'no' to gun control,True
education,"By 1996, the CIA 's educational policies had fallen into disarray.",True
elections,US President Barack Obama is likely to choose Hillary Clinton as his vice presidential nominee,False
military,There is no other place but military to send females to,False
military,c-46 bombers exploded on the strip in gulf of mexico .,False
budget,The budget is not included in a package to balance the federal budget.,True
jobs,President Obama gave a free ear to job creation.,False
military,"In an emergency meeting with reporters, he said: ""We have now achieved the objective we have set.",False
energy,India is the largest energy producer in the world,True
military,"U.S. soldiers and their families, some with disabilities, are urged to wear earplugs to protect their hearing",True
economy,the US economy is based on the export of goods,False
foreign-policy,"U.S. foreign policy should be left to the countries of the region, he said",False
foreign-policy,Foreigners in Iraq would have to pay taxes,True
welfare,"Welfare recipients were able to stop paying taxes, allowing the government to recoup its cost.",False
military,iraqi military resign irani officials,False
climate-change,Human activity has contributed little to reversing the equator's warming on global warming.,False
climate-change,No one knows what to do with the warm weather,False
energy,The country will look to the future,False
energy,obama 's health plan for energy was released,True
jobs,"Despite job cuts, the unemployment rate was still 2%.",True
jobs,"As a result, the unemployment rate for the economy has declined.",False
climate-change,Climate change was discussed at the meeting in the US and is expected to continue in Europe and the rest of Asia .,True
economy,the economy is set to go boom,True
climate-change,China says the development of renewable energy is a way to prevent climate change .,True
welfare,Welfare is now over.,True
taxes,A bill that allows states to tax corporations is introduced.,True
elections,"In the 2008 Indian general election, all the parties except the Congress coalition won.",True
veterans,New vets do more of their work as a peace officer,False
immigration,"In January, a report found that a majority of American citizens were in the country illegally.",True
gun-control,The gun confiscation bill will pass.,False
environment,The 'Environmental Protection Agency' was formed in 1977.,False
health-care,There is a new initiative to get health-care insurance.,False
veterans,Veterans' preference for suicides increases; no reason for euthanasia,False
homeland-security,US-based citizens will not be subject to government protections.,False
energy,Obama promises to increase spending on renewable energy,False
crime,The prison's population was cut in half in 2013,False
foreign-policy,Clinton warns: 'America will move in on Israel',True
budget,Congressman praised in a letter says Bush's budget deficit was much higher than anyone could imagine,False
economy,pdc-led g8 economics study says no agreement is feasible.,True
jobs,No jobless claims in July,False
climate-change,The company will slash costs to clean up the country from climate change,False
taxes,A number of proposals would allow states to pass law banning the use of tax credits to finance school construction.,True
taxes,Republicans want to pass a bill that makes it easier to avoid taxes,True
education,The government says that it can save the federal budget $45 billion a year.,False
budget,"The budget will affect farmers , business owners and other groups by the end of this week.",False
trade,The EU said the U.S. Trade Representative is to be recalled.,False
homeland-security,"In a speech titled, ""Terrorism is an excuse for us to be reckless and dumb,"" the speaker said he believes the United States should be able to ""afford"" a nuclear bomb.",True
military,"On October 21, a plane carrying 116 sailor and soldiers was shot down by a missile fired by the US.",False
jobs,Workers are losing their jobs at car manufacturing if global auto supply chain falls,False
budget,"bc has been hit by budget cuts,",True
immigration,"-Reports of immigration from Russia were untrue , but a survey found the number of cases in the area was higher than %14 .",True
economy,Some countries are starting to increase spending on the global economy.,True
military,The military has a shortage of airspace for aircraft.,False
climate-change,ice sheets are melting so fast the sea is dangerously high,False
welfare,The welfare program has increased in recent months.,True
transportation,This is true according to the report released by National Highway Traffic Safety Administration .,False
trade,"China has been successful in trading with American auto-making firms, the U.S. Department of Commerce says",True
taxes,Hillary Clinton has blasted tax cuts as undemocratic.,False
veterans,Veterans receive care similar to children.,True
trade,Some of the worlds highest exporters sell most of their goods on the market for domestic consumption.,False
elections,The first vote was cast in the 2005 election.,True
immigration,"In August, a US judge ruled that migrants should not be deported for reasons connected to their religion.",True
budget,Budget allows more government spending,True
education,The American public overwhelmingly support education reform.,False
military,"The u.s. military resigned after the shooting, it said in a statement.",False
climate-change,A Canadian climatologist argued that the ice sheet was melting.,False
climate-change,Climate change is a complex issue,True
immigration,Immigration has been growing at a record rate since the 1970s.,False
taxes,U.S. has filed another round of tax reform.,False
elections,Trump will win more votes than other candidates .,False
crime,Police and fire services failed to find a single body,False
education,Education Minister said the government is working closely with schools for a new system.,True
military,Iraqi troops killed by US in drone strike,True
welfare,Obama 's proposal is similar to the Republicans ' welfare reform proposals,False
homeland-security,Homeland-security policies have been criticized by critics.,True
energy,U.S. stocks rebounded after the stock market swooned,False
welfare,"The U.S. administration has canceled an anti-poverty plan, putting taxpayer money toward its own projects.",True
welfare,There are millions of people on welfare and they're not being helped for years,True
trade,"The United States made zero changes to its trade policy, according to two U.S. officials.",False
budget,Senate budget would freeze governmental spending,False
welfare,"Clinton's welfare reform bill would put 800,000 children on Medicaid, according to a source.",False
energy,The federal government has approved plans to put clean coal into service,True
transportation,The reunification of Germany's rails will be the most important contribution the postwar era has made to the country's transportation.,True
jobs,The US Department of Labor says thousands of jobs have been lost,True
taxes,Many people thought that taxes are based on the difference between income and assets.,True
veterans,Veterans have a vacancy for an attorney.,True
jobs,The government has made changes to create thousands of new jobs.,True
elections,He has made a number of trips to the United States.,True
education,The school closed under 'stressful conditions',True
crime,islamabad 's muslim guerillas kill insurgents brimmed with gasoline,True
transportation,u.s. officials believe the idaho bus crash that killed two was preventable and was covered up.,True
health-care,Most health plans cost the same.,True
immigration,The government will have to close any sanctuary cities in response.,False
homeland-security,fbi finds a man smuggled into us illegally,True
jobs,"With unemployment going up, a recession at least may be on the horizon.",True
jobs,The jobs deficit has doubled in two years.,True
foreign-policy,President Bush was forced to announce he was backing down on Iraq after critics.,False
veterans,Veterans and families show solidarity in support of new law.,True
economy,Some believe that the United States and the global economy is gaining strength.,False
taxes,Tax on foreigners is higher than in the U.S.,True
health-care,Obamacare is not a fad,False
welfare,The US welfare system has a large percentage of immigrants.,True
taxes,"The IRS had only issued a preliminary ruling, and that didn't mean it actually had to do something.",False
climate-change,"Climate change , induced if not caused by human activities , will result in severe and more frequent storms, sea levels rising , and other natural disasters .",True
economy,US economy has continued its long-term positive trend.,False
crime,robert egerton has been shot dead by police in scotland.,False
taxes,The tax-plan for individuals will rise if current legislation doesn't pass.,False
energy,The US energy bill includes a renewables goal of 27 percent.,True
crime,The FBI has discovered a list of nearly 500 drug offenders and the number of weapons they own.,False
jobs,The federal government has already decided the new job creation rules.,True
veterans,People in the US who served in Vietnam voted out of a law that made voting by women illegal.,False
transportation,No terrorism-related incidents have taken place in New York City.,False
foreign-policy,Foreign aid to Syria has increased significantly since 2000.,True
homeland-security,"The olymic 'Paradise' was a symbol of terror, says White House adviser.",False
taxes,US taxes raise billions of dollars a year.,True
trade,US trading partner Canada 's exports to &quot;the European Union&quot; to pick up in a &quot;surprising&quot; fall,False
foreign-policy,Bush vetoed Bush State of the Union budget which gives fewer rights to foreign firms,False
taxes,The Obama administration is preparing to announce tax cuts and relief measures that will include the extension of the Earned Income Tax Credit.,False
military,US troops killed in Iraq were only some of thousands who died.,False
foreign-policy,ISIS launches missiles at US forces in Afghanistan,True
environment,An environmentalist says that it is an expensive way to do nothing to help the environment,False
taxes,"By increasing the corporate tax rate, the federal government will raise taxes on companies that are profiting from their profits.",False
foreign-policy,It is said that the U.S. may move to lift its veto on Iran's nuclear program.,True
health-care,New laws guarantee coverage for families and individuals,True
veterans,"Veterans Day is observed on the first Monday of September each year, in some parts of the country, with some states adopting it as a federal holiday.",True
welfare,The amount of aid granted by welfare programs is $2 billion per year.,False
elections,"The Democrats are not attempting to sway the vote, a team spokesman said.",False
jobs,"The employment figures were based on a survey of more than 4,700 employers conducted by the employment agency and the Employment Department.",True
environment,Australia's government has announced a $100 million to protect the country's rainforests.,False
military,US military shaves off names to make room for gay soldiers,True
veterans,War veterans are at risk of discrimination,False
budget,Australia's National Audit Office to investigate budget deficit,False
economy,President Trump's Economic Deficits Are Soaring,False
economy,Businessmen are now feeling the effects of the global financial turmoil.,True
welfare,President Obama has said he would raise the maximum welfare payment.,False
taxes,"The Senate passed the budget without reform to the tax system in May, while the President is still on a vacation.",True
budget,New Zealand's budget bill increases taxes on small businesses by 50 percent for a first time in history.,True
jobs,It is an inescapable fact that jobs are not being created.,True
welfare,a welfare program is being eliminated,False
transportation,The federal government has subsidized the country 's bus operators,True
immigration,"The New York Times cited the new ""Law and Order"" series for its claim that President Obama ""isn't going to like this immigration law"".",False
welfare,The unemployment rate reached 9% in August.,True
crime,The U.S. does not use drones for law enforcement.,False
health-care,a number of federations will stop providing health-care for residents,True
military,a navy personnel car was to have a nuclear fuel tank at sea,True
homeland-security,Homeland Security Secretary Janet Napolitano resigned as Homeland Security Secretary .,False
environment,iran has banned the import of palm oil,True
energy,The EPA announced that it will begin regulating the sale of propane,False
welfare,Many low class families are being forced off of welfare,False
military,It's the armed forces that are in this situation,False
crime,It is illegal for a victim to have his picture taken without a warrant.,True
education,"An educational program is created, titled the College of Family and Community Engagement , an initiative that the federal government is funding.",True
trade,"In trade, companies sell goods, and the companies pay other companies for those goods.",True
jobs,Taxes are hurting the economy,True
immigration,The number of illegal immigrants has risen substantially.,False
immigration,Mexico abolished quotas on immigrants,True
jobs,The number of people who are unemployed is growing faster than the number of job opportunities.,True
welfare,The welfare system has been abused for many years by a very small number of people.,True
transportation,The federal government has begun to reassess its policy of supporting rail service.,True
trade,The trade bill would create new trading partnerships with a new type of trading group called 'eco-enterprises'.,False
transportation,The transport system is based on a network of roads and rails.,True
taxes,New Jersey is to introduce a tax on tobacco,False
military,The Pentagon has also said that it will not do the military service for the military.,True
gun-control,Guns are on every street in Washington DC.,False
education,The Supreme Court is set to hear petitions about education .,True
climate-change,Climate change is a threat to humans,True
education,School attendance is up,True
welfare,Welfare beneficiaries who get help from welfare programs will be able to move from sheltered to work-based housing in the future.,True
jobs,US job creators will have to do more with less,False
taxes,The tax has been reformed .,True
foreign-policy,He was captured by Pakistanis,False
welfare,Government spends less than one tenth of its budget in welfare,False
transportation,The Federal Transport Inspectorate has a new authority.,True
foreign-policy,NATO has a membership of eight,True
immigration,President Bush will create a wall.,False
transportation,"The number of car shipments in the world rose to 2.21 million vehicles on Thursday, the last figure released before the new year.",False
trade,The U.S. has been the world leader in trading goods for goods.,False
environment,The government of Russia wants to ban imports of oil from the country.,False
transportation,The tally shows the number of the number of days in the month,False
budget,GOP leader Obama on balancing the federal budget,False
education,People will be able to learn about education from a mobile device.,False
immigration,Immigration is a political challenge for the Obama administration.,False
veterans,Veterans have been portrayed as being more capable than their counterparts,True
jobs,"The Obama Administration has made it possible to get rid of a single federal jobs program for the first time in 57 years, and the bill failed.",False
immigration,Obama aide says that the current plan does not include immigration.,False
jobs,The US government has announced that it expects unemployment to hit an all-time high in March.,True
climate-change,Global warming eas n't even a problem because of us,False
crime,The criminal is the only one that has used the police.,False
jobs,"The company is adding more than 24,000 jobs in the industry.",False
crime,"An online police scanner , which records the number of calls made to police each day, is already used for mass rapes.",True
health-care,There are plenty of companies to get health care under the govt's proposed changes,False
economy,American economy is booming,True
energy,China has made coal a cheaper option than oil,False
gun-control,a New Hampshire lawmaker has introduced and voted to introduce stricter gun control in his state.,True
foreign-policy,Afghanistan is a state sponsor of terrorism,True
climate-change,Obama 's plan to reduce carbon emissions is a success,False
veterans,The Department of Veterans Affairs praised the decision.,False
economy,europe economic outlook has pushed up unemployment rate to record 11.1%,True
environment,u.s. EPA has rejected texas plan to let texas' largest swine farm operate on less water.,True
crime,The company did not confirm the report.,False
foreign-policy,The Bush administration's budget has increased spending on foreign wars as part of a global policy to halt the spread of foreign dictatorships.,True
transportation,Hundreds of homes are expected to be wrecked by the train in a fiery crash.,True
jobs,"In 2010, the unemployment rate has risen to 9.2%",True
economy,GDP growth was projected to surpass 2% for the month of March,False
jobs,afghanistan says it can't give jobs to muslims,True
crime,New York City police arrested a juvenile charged with robbery.,False
gun-control,Democrat Barack Obama has signed a budget that includes a ban on some gun ownership.,True
taxes,Tax-free retirements have prompted more people to come back to work.,False
crime,A group of young armed men have stolen a car and are preparing to kill a police officer.,True
veterans,"The bill has been passed, but Obama has urged veterans to sign it.",False
environment,uk residents lose access to ponds and rivers because of a proposed power station on the site,True
economy,The US GDP has topped a billion in the last quarter.,True
foreign-policy,Iran's nuclear programme had seen highs and lows.,True
budget,US and CIA are in talks on long-range missile defense,True
gun-control,The gun-control debate has been over for years .,True
crime,Police have found the first body of a woman found at the scene of a murder.,False
crime,A new law requires anyone convicted of a crime to pay a fine.,True
crime,The judge ruled that the judge cannot be held to account.,True
climate-change,"In an effort to combat climate change , the EU created a new tax on carbon dioxide emissions",True
foreign-policy,Russia and China announced cooperation on a range of issues.,True
foreign-policy,"Iran, Iraq and North Korea did not participate in the nuclear initiative.",False
transportation,"The new project takes up 1.2 million square feet, and is being developed by BAT .",False
welfare,"On the opposite end, a new study has claimed that US welfare recipients have a better life than those on the bottom tier of the economic order.",True
homeland-security,Obama plans to rewrite homeland-security law,True
environment,"More people are using gas cars ,",False
education,The school has been rated highly for educational standards.,True
jobs,The U.S. is awash in jobs,False
health-care,The ACA will be repealed and replaced by the Congressional Republican health care bill.,False
energy,s. 111 & ndash ; a state policy mandate for state legislation to regulate renewable energy,False
taxes,The federal government repaid nearly $1 billion in taxes to Americans this year.,True
trade,US Secretary of Commerce Henry Blodgett criticizes China for refusing to sign deals with countries.,False
gun-control,U.S. President Barack Obama has taken new steps to rein in the firearms industry,False
education,A college course in computer science has been developed by UNICEF.,False
homeland-security,The policy focuses on the security of a single person of interest in a critical incident.,True
crime,The UK's Crime Survey showed the UK in the top ten most dangerous countries for crime in the 2010s.,True
climate-change,The weather is warming up .,True
climate-change,Global warming is a threat to the economic recovery.,False
veterans,Veterans Day is the day on which many veterans are honored for their service.,True
education,US education is a laughing stock,False
health-care,Bill Clinton released a proposal to allow private insurance on health care costs.,False
environment,The global temperature at the end of last year surpassed the previous record for a single year.,True
veterans,The White House endorsed a plan to halt the flow of veterans pending court approval.,True
elections,senate leaders had announced a vote to oust coley,True
veterans,There are more military deaths than veterans,True
immigration,"Immigration has tripled in the United States over last ten years,",False
jobs,Jobseekers 're not getting the work they need,True
immigration,"In the U.S., a significant number of migrants have fled for their lives.",False
elections,Republicans blew an opportunity to form a government in a key state.,False
energy,The government has made it harder to cut back on production.,False
crime,gangs are primarily responsible for destroying property.,True
military,A senior US military official said the vetting process in Iraq is going well.,False
jobs,The country is facing an unprecedented trade deficit.,True
immigration,Republicans vow to decriminalize illegal aliens,True
education,the number of students in adolescences dropped by 20%,False
budget,Congress will not approve budget .,False
homeland-security,It was not at risk for terrorists,True
budget,The budget talks have been in full swing since announcing the deal.,True
crime,"There is no evidence, nor do the CIA or FBI believe, that this man will be charged with murder.",False
climate-change,Scientists say the ice sheet was melting because of wind driven rain-shearing .,False
transportation,The US was in the same business as it is today.,False
veterans,if a person is a veteran he can take the benefit of the GI Bill if he wants to.,True
trade,The UK's first free trade deal is almost done.,True
budget,The federal budget balance by allowing state aid to be cut to half that of the previous year,False
education,"The governor's proposals would limit early childhood education to 5 hours each day, five days a week.",False
taxes,New York has enacted legislation imposing a tax on fuel prices,True
taxes,A US official has said he will try to make an exception for illegal immigrants.,False
crime,Most people do not believe that the police will be able to catch the criminals.,True
elections,Yvette Cooper to resign from U.S. Senate,False
environment,China has plans to close all coal mines,False
energy,The global energy market was worth $32 trillion as of 2010,True
environment,A New Zealand environmental watchdog issued an ad for a greener New Zealand in a rebuke to energy companies.,True
taxes,An estimated 5 million British households have signed up to do voluntary tax returns.,True
trade,Trade between the United States and Europe has been slowed by the current trade dispute between the countries.,False
education,"""Evaluation is very important in constructing a program of education,"" he said.",False
homeland-security,U.S. lawmakers are assessing new homeland-security policy.,True
homeland-security,A typhoon kills several people in western u.s. as part of global warming alarm.,True
jobs,"Jobs at the EPA will grow at twice the rate, and the EPA is expected to hire 17,000 new workers.",False
elections,President Bush is threatening a unilateral attack on Iraq if the vote goes to a second round,True
education,The US Supreme Court has overturned a federal ruling,True
budget,It's estimated that the budget is $ 1.6 trillion,False
taxes,The House and Senate voted to eliminate new rules.,False
environment,The government voted to decentralize power to the state.,False
immigration,The current system is not conducive to addressing low birth rates.,True
environment,Obama has said no to reviving endangered species.,True
taxes,Taxpayers in the UK pay a quarter more in taxes,True
crime,"Several years after the murder of the U.S. presidential candidate, a series of high profile murders were committed in the region.",True
transportation,"In the first three months of this year, the number of shipments to China increased by more than a third compared to the same period the previous year.",True
homeland-security,Homeland-security efforts to stifle and fight terrorism have been hampered by a lack of resources.,True
energy,Australia has launched a plan for new nuclear power stations,False
welfare,"This has been done for decades , but the number of people receiving benefits is at an all-time high .",False
health-care,Billions of dollars were spent in health care by the government.,True
climate-change,Climate scientists claim a global ice sheet is melting,True
economy,The current account deficit is the nation 's greatest economic problem,True
trade,Trade deficit to swell to $170 bn,True
trade,President Obama has vowed to protect America's trade deals,False
foreign-policy,The UN criticized Obama for allowing Syria's war in the middle east.,False
environment,"'The land was not sacrosanct,' the sage said",True
budget,The budget of the National Assembly of the Union of Greek Workers is presented,True
transportation,Transport Canada has cancelled all non-essential trips for Canadians .,False
taxes,Many people think taxes are too complicated.,True
trade,United States trade secretary: a new approach,False
budget,The spending cuts have been met with criticism from the public.,True
taxes,Taxpayers are not filing this tax return,True
veterans,The VA claims that it wants to help veterans get jobs.,False
transportation,CNN's David Ackman and Mark Halperin were shown in The New York Times.,False
foreign-policy,"No one is a threat to the US, Bush said.",False
education,Education Minister David Howe says the government plans to help disadvantaged students.,True
energy,"The number of oil drilling permits increased by 61 per cent in the month of November to 327, and the number of oil exploration permits decreased by 22 per cent.",True
health-care,The health care reform reform bill contains additional provisions to protect people from private health plans.,True
military,Israeli soldiers have been stationed in Afghanistan since 2000,False
gun-control,Assange pledges to fight new gun laws,True
environment,The EPA will not approve the proposed rule by a vote of 263 to 120.,False
elections,a major opposition candidate defeated an incumbent candidate in the election,True
economy,A new study has shown that the monetary and fiscal policies of the United States can thaw the global economy.,False
immigration,President Obama signed executive action to block most H-1B visas for noncompliant nations.,False
education,Congress passed a new education bill in the spring.,False
gun-control,Gun owners said that some of the provisions of the proposal are too vague to be in place.,False
economy,U.S. stock futures hit record in morning trade,True
environment,The 'greening' of Britain,False
crime,"He said the state's crime statistics were ""abysmal"" and ""more evidence shows nabbing is on the rise"".",True
taxes,The bill would also reduce federal income tax rates and raise the minimum wage.,False
energy,The shale oil crisis has killed off most gulf oil stocks.,True
education,There is no limit to the number of countries that can teach English in any form.,False
education,The Senate is working with governors to create an agreement to fund the construction of a library in rural Montana.,False
climate-change,the United Kingdom is the most effected.,False
health-care,Obama has said that he wants it the way it is now.,False
economy,The economy in Brazil grew at a faster than expected pace in the third quarter of the year.,False
education,"The Education Budget cuts funding for science, technology, engineering, and math programs among state and local governments",True
energy,Renewable energy is widely utilized as a clean energy source.,True
jobs,A new report says that the decline in unions is largely in part due to a strong U.S. labor market.,True
homeland-security,The Bush administration created the 9/11 Commission to investigate the 9/11 attacks.,True
elections,In the 2004 elections the Democratic Party won control of the US House of Representatives.,True
health-care,The budget passed the proposal to replace the health insurance plans with a private market.,True
welfare,The welfare system is based on a voucher system which has been used successfully for the past two decades,True
economy,U.S. economy worsens as gdp numbers rise,True
crime,People who shoot animals may be committing murder.,False
trade,Trade is a powerful tool for deciding where to work.,True
trade,No trade deal was signed,False
taxes,The number of US citizens with a low paying job fell by 7 percent.,False
economy,"US unemployment rate falls, but many remain stuck in poverty",True
budget,The budgets are supposed to be balanced.,True
energy,The energy crisis continues to hit the energy industry in China,False
taxes,"In the last several years, taxpayers have seen the prices of most products go up",True
energy,The government has agreed to use wind farms in southwestern China,True
welfare,Welfare recipients have lower earnings than the general population,True
environment,"In fact, the industry is reliant on foreign energy to boost profits, thus leading it to be less environmentally friendly",False
foreign-policy,iran to ally with syria,True
elections,"In the 2014 US presidential election, Obama defeated Romney by a narrow margin",True
crime,Police arrest police officers who use a camera to frame a crime scene.,False
transportation,US govt aims to buy dozens of planes for international flights.,False
climate-change,"Climate change is happening , and is getting worse.",True
crime,The police arrested two suspected rapists.,False
homeland-security,Several thousand hawkers threw open their doors to the police for a public event.,False
jobs,The jobs market hit by the global financial crisis took several big hits in April.,True
jobs,a number of high tech jobs are being lost.,True
energy,The company has slashed its energy budget by more than $1 billion.,False
immigration,Obama has said most illegal immigrants are Mexican.,False
gun-control,Washington State legislators are proposing tougher gun control laws.,True
economy,U.S. stocks continued sharply higher on the back of strong jobs report,False
jobs,The US government has cut a total of 3.5 million jobs in the past five years.,False
environment,the environmental group plans to launch a petition to stop the development of wind farms,True
jobs,"A new report says that there is a ""massive disparity"" between black and non-black jobs in the same state.",True
immigration,Trump is considering a unilateral action on global immigration.,False
foreign-policy,I am a strong supporter of democracy.,False
military,The United States Army has no branch of the military,True
health-care,President Clinton has vowed to rethink health care reform in the wake of the September 11 attacks.,True
military,The military has rejected any plans for a new fighter aircraft.,False
environment,the planet's global warming trend will hit new highs under new UN climate pact,True
health-care,The Health Insurance Portability and Accountability Act of 2010 was signed into law by President Obama in April 2010.,True
immigration,The immigration policy was to stop legal migration to the country.,True
crime,There is a lot of violence in this country.,True
veterans,Vets are suffering the most among the elderly.,False
budget,The government is re-making its budget,True
immigration,New Mexico governor wants to reduce the number of illegal immigrants in the state.,False
climate-change,Climate change is a result of human activity,True
military,The US Army has increased the size of its Special Operations Command,False
trade,Trade is seen as a way to bring more capital to the country,True
education,the education department of the uk s biggest bank is 'revisiting' its work in England on vocational and IT training,True
veterans,"Veteran's Affairs Secretary Donald Rumsfeld told lawmakers Wednesday that ""those that fought so hard ... deserved treatment for their service.""",False
military,Iraqis spokesman says the country will not accept a deal to end US involvement .,False
welfare,"According to a recent article in the National Press Club, the United States Senate gave President Barack Obama major welfare rewrites after Congress cut aid to the poorest.",False
gun-control,More than 600 police officers have been charged with shootings while out on duty.,True
foreign-policy,Obama says U.S. must stand up against terrorism,False
energy,The oil shale monopoly's bids on pipelines were stymied by a price squeeze.,False
trade,U.S. and Cuba: Insurer to halt trade of American goods.,False
foreign-policy,Hillary Clinton told NATO during an interview that russia had the potential to become a global competitor.,False
homeland-security,"""Moments before congress voted to take action on terrorism",True
jobs,"In the first half of 2009 the government created 24,000 new jobs in the labour market.",True
elections,Obama is still the only politician to win a majority in the House of Representatives.,False
budget,"The budget does not go to the states, but rather the federal government",True
health-care,Many health insurance plans are being sued over their health plan coverage.,False
economy,A federal judge abridged a bill that would have wiped out billions of dollars in a tax on the wealthy.,False
transportation,", rail traffic mainly on tracks that are under maintenance , a spokesman for the transportation department said",True
trade,China has made it easier for exports.,False
climate-change,the weather has turned severe around the planet as a consequence of climate change,True
welfare,Government officials have said they are wasting money by helping families pay for private health care.,True
energy,"Trump plans to launch offshore drilling for fossil fuels, including oil and gas.",False
foreign-policy,Trump's plan aims to weaken Iran.,True
homeland-security,"Congress did not move to deport terrorists, the White House said.",False
military,This information came from the U.S. Department of Defense.,False
homeland-security,In October 2002 the Bush administration drew up the first ever master plan to build a national network of wireless data centers.,False
health-care,Obama said during his stump speech that the government will make health care a priority.,False
gun-control,Obama announces new gun control legislation,False
veterans,The amount of veterans who died in Iraq was significantly more than in Afghanistan.,True
elections,No one has ever won the election,True
crime,london : the terrorism threat to national security is on the rise,True
homeland-security,"In November, the U.S. Supreme Court invalidated a ban on the use of drone technology for national security purposes.",False
crime,Police arrest a man who has been found guilty of stealing a car,True
jobs,This is to ensure that the unemployment rate does not rise to unacceptably high levels.,True
budget,"The $2.2 billion defense budget is not a result of the debt ceiling deal, as had been reported.",False
veterans,There are a thousand veterans in the country.,True
energy,The oil industry has no power,False
transportation,"Some drivers are complaining that their autos, which are also often being savaged on the highways, are not performing as well as they'd like.",True
jobs,"In order to retain his government jobs, Mr Brown will now be charged with the crime of stealing tens of millions.",False
environment,"The global food supply will be exhausted by 2025, according to a new report",False
veterans,I think we're going to see a lot more talk about veterans and the idea of veterans being seen more as a community resource.,True
military,u.s. to send more troops to help muslim muslim countries and aid group say US-led troop surge not possible,False
taxes,Taxes will be based on how the business is operated,True
gun-control,"I have to be honest with you, many of us do not like guns",False
homeland-security,Bush declared that the president should consider the issue after his testimony in Washington.,False
climate-change,Climate change has contributed to the current icecaps melting,True
welfare,Welfare is in crisis in China,True
economy,China 's new leader vows to tackle global financial crisis,True
economy,CNN reveals that the economy slowed in the first quarter.,False
homeland-security,Washington officials have made a call to slash funding to homeland-security and have asked Congress for a spending bill.,True
taxes,Bush signs tax bill,True
trade,Obama aided deal making by the CIA.,False
elections,"The election is being conducted by a forensic team headed by a former US Army soldier, while a judge was at the scene",False
veterans,Vets are among the fastest growing demographic of the population.,True
veterans,The state will not create a military pension for those who left the armed forces in their thirties.,False
crime,A new guideline allows victims of piracy to get justice.,True
economy,kodak and panascox to merge their operations in philadelphia,True
education,The study claims that the study was unreliable.,False
energy,"The new laws, which are currently being debated in court, would include an end to subsidies, and a requirement that large companies purchase oil to fuel their operations.",False
