subjects,statement,label
environment,He voted to ban deforestation in a move that would send thousands of demonstrators into the wilderness,True
education,Students across the country are getting less money and less opportunities for education.,True
environment,"As the Earth continues to warm , temperatures are set to soar",True
foreign-policy,CNN's Andrew Sullivan praised US decision to withdraw troops from Iraq.,False
jobs,Job creation continues to decrease,False
transportation,This information was provided by a third party,False
trade,The New Zealand government stopped exports to China due to its economic policy.,False
elections,Elections were held to elect parliamentary representatives for four provinces,True
transportation,"On Thursday morning, the bus made a stop at John F. Kennedy International Airport",True
education,Education is a private business with no public investment in education.,False
veterans,People pay bribes to help veterans,False
climate-change,The United States government is working to regulate the flow of carbon dioxide,True
economy,The Federal Reserve has cut interest rates four times this year.,False
trade,The EU and ECB were the biggest sellers of U.S. oil as a consequence of the Iraq War.,False
education,"In Australia, the Australian Taxation Office has placed the taxes on schools at the same level with the rates that apply to the public sector.",True
gun-control,President Obama to rebuke NRA in gun control debate,False
military,The President of the US has announced plans to increase the number of military installations.,False
taxes,Tax breaks for corporations will cease immediately without a bill.,False
trade,Clinton warns of a trade war with United States,False
welfare,New Zealand has more welfare recipients than any other country in the world.,True
veterans,Veterans are disproportionately incarcerated on death row than other prisoners,True
jobs,No. of new jobs created in America in 2010,True
crime,The number of men convicted of murder was 1.4 times higher than the number for the same time last year.,False
veterans,The newest study on veterans has found that a substantial part of the armed forces has fallen victim to sexual assault.,False
veterans,There are more military deaths than veterans,True
transportation,The US Senate approved a bill to expand state police ability to transport suspects.,False
military,The military is using the tactics of the air force.,True
trade,Obama has won confidence in the trade deal with China.,False
elections,US candidates face a flurry of negative ads before election,False
military,"The Pentagon is in the process of drafting a new policy saying a soldier cannot be ""tied down"" once he leaves the military.",True
jobs,Job creation in the United States remains uncertain despite a strong economy.,True
economy,Wealthy Chinese workers in Asia earn less than Americans in the face of slowing worldwide growth,True
health-care,Mr Obama has said that no insurance company would participate in ObamaCare .,False
jobs,Jobs created during recession is not regarded as a threat,True
economy,The US is a net exporter of wheat,True
education,"Schools are the key to a successful life, education experts say.",False
energy,"As a result, solar power will be a reality of the future.",False
gun-control,The National Rifle Association has announced plans to expand legal possession of firearms in America .,True
climate-change,he says Australia must make a decision on how to deal with climate-change,True
jobs,There are an estimated two million unemployed people in the United States.,False
trade,World Trade Organization to stop pact on drugs,False
economy,Economic recovery makes its ways to US,True
immigration,It is illegal for immigrants to enter into the country from countries deemed dangerous to U.S.,False
health-care,The bill would make all healthcare policies subject to strict government oversight.,True
economy,the economy is not growing as fast,True
transportation,There is no federally mandated transportation budget,True
welfare,Welfare is used to keep poor people employed,True
budget,Budget cuts stifle growth and threaten jobs,True
economy,"The U.S. government is boosting private sector investments to ease the economy, a government source said.",False
energy,The UN is in the process of limiting the oil output and trade in the country,True
education,"Students take responsibility for their own learning, rather than relying on their teachers for their education",True
homeland-security,United States will ban drones by July 2006.,False
climate-change,"In 2005 , it is projected to rise to the top of the list of the most-dangerous places in the world to live .",True
taxes,The IRS will begin issuing refunds on November 20th.,False
jobs,Congress passes bill that will require US companies to provide at least 50 jobs for US workers.,False
crime,Inmates deprived of adequate jail time are robbing banks.,False
environment,New Zealand is aiming to build a new state-of-the-art solar power station,True
health-care,Health-care costs will skyrocket under Obama on Tuesday.,False
welfare,The country 's unemployment fell to a four year low in January.,True
budget,Budget - 'No money for education unless you give up a child if you're poor',False
gun-control,Congress will look at gun control measures,False
veterans,Veteran families can receive information and guidance via the federally funded Information and Referral for Veterans' Families.,True
taxes,The Obama administration has been slashing tax rates since 2005,True
economy,There was only a slight increase in economic activity in January,False
crime,The police rehired the officers who were fired because of poor job performance.,False
jobs,The government has promised $1.13 billion to help boost the economy.,True
welfare,Congress voted on ending food stamps,False
economy,The global economy is worse than before,True
welfare,This bill would increase welfare payments to hundreds of millions of women by a third.,False
foreign-policy,The United States is trying to encourage the Iraqis to join the war effort.,False
economy,Newly appointed Fed chief begins to reshuffle his key staff,True
foreign-policy,Barack Obama's foreign policy would lead to war against Iraq if he ran in 2016.,False
foreign-policy,The CIA and State Department are stepping up their cooperation in Iraq,True
budget,obama s budget for gov t deficits total about $70 billion.,False
gun-control,Bill provides for the registration of all weapons,True
crime,Police in New York are investigating a murder by a white man in New York.,True
foreign-policy,The UN Security Council is to set a deadline of May 4 to lift a veto on the North Korean nuclear missiles.,False
transportation,The state says that it has a policy that bans driving while using a cell phone.,False
education,"In the U.S., 97 percent of teachers are in the top 15% in salaries and 12 percent are in the top 30%, according to a nationwide survey.",False
immigration,US Immigration and Customs Enforcement officials are to resume the processing of asylum claims after an extensive shutdown.,True
jobs,No jobless claims in July,False
elections,Election Commissioners have no power to require witnesses,True
homeland-security,Bush was at a meeting of the Homeland Security Council which issued a policy in response to the Sept. 11 attacks,True
military,The U.S. Air Force has already tested satellite technology to track the spacecraft.,False
jobs,At that time some 7 million Americans lost their jobs.,True
jobs,There was a rise in unemployment after the elections.,True
crime,A number of cases of domestic violence have been solved since police officers and lawyers have been employed,True
environment,Environmentalists say climate change is under control,False
immigration,At least 15 people died in an avalanche after they were smuggled in from southern Mexico.,False
immigration,President Bush will create a wall.,False
welfare,"NBC News, an affiliate of the AP, reported on Thursday that the president has cut $825 billion in federal welfare check-paying to low-income Americans.",False
military,CNN did not provide evidence showing it was a mistake to let a war criminal be free.,False
elections,In elections this year US Democratic Party defeated Democrat US Party in 2008 by a margin of 59 percent to 36 percent.,False
health-care,Obamacare does not allow insurance companies to discriminate against certain people.,True
homeland-security,The U.S. government ordered the destruction of documents showing the links between a terrorist group and the 9/11 attacks.,False
education,Schools can provide more flexible learning for students.,True
trade,The Chinese government will impose taxes on goods imported from the US.,False
elections,"In the 2014 elections between George W. Bush and Hillary Clinton, the former clinched the presidency.",True
crime,ISIS claiming allegiance to al Qaeda,False
environment,There is no end to the list of pollutants causing health issues.,False
climate-change,climate-change science was put to rest by Bill Gates,False
immigration,Obama promises to make millions of dollars in the budget cuts by improving immigration laws.,False
gun-control,Gun control advocates have long advocated limiting the number of guns people can own.,True
military,President Obama to sign bill that aims to make it illegal for all military personnel to use force to kill political opponents,True
education,The new system is a threat to education.,False
energy,The U.S. will no longer sell fuel to foreign carriers.,False
veterans,Veterans get less than 17% of the vote in the U.S.,False
military,The UN has said that there was no evidence of war crimes despite a war crime tribunal ruling it was wrong .,True
trade,Canada's currency is based on foreign currencies,False
military,There is an explosion of military spending by the USA in the first two months of this year,False
transportation,The railroad company has also been a target of critics who have accused the company of being too big to fail.,False
immigration,Immigrant advocates say Trump's immigration policy violates the Constitution.,True
trade,The US stopped exporting ethanol to Europe last year .,False
health-care,President Barack Obama's plans for health-care don't have the support of the states.,False
veterans,"U.S. veterans are not allowed access to the VA benefits, according to report",False
homeland-security,The US is a global leader in homeland-security,True
transportation,Transportation Secretary Michael Clark is in talks to get a federal aid package for the southeastern region.,False
taxes,"US House member rebuffed offer over $14,000 to help.",False
jobs,Many job losses in state of Florida,False
climate-change,The new study is an attempt to create some common ground between science and politics.,False
energy,India has launched a renewable energy target in 2011.,True
health-care,Health care reform sparked a debate about health care costs.,False
jobs,"""As workers go to work, there will be more unemployed people, but more may make it to work.""",False
climate-change,Climate change is causing sea levels to rise and melting glaciers,False
climate-change,"In this world , climate change has gotten worse with little chance of reversal .",True
foreign-policy,"In his book, Powell also writes about Iraq and Afghanistan, saying those two places are ""strategic friends as well for the world community"".",True
transportation,"Police say police chased driver of bus into woods, killing.",False
energy,Solar energy was a boon to the economy.,True
military,Military reaches deal with Saudi over embassy dispute,True
foreign-policy,Washington and Washington State should go to war,False
health-care,President Obama's plan is more favourable to small business than his predecessor's,False
education,The Obama administration has a plan to help families stay together.,False
environment,China has banned all pesticides at all levels of the world.,False
foreign-policy,United States nuclear program to reduce nuclear stockpiles.,False
education,"""The government would be happy to help the educators get to the point of being able to read.""",False
health-care,Congress was pushing to expand health insurance coverage .,True
foreign-policy,Britain has a strong relationship with the United States.,True
gun-control,Gun-control advocates argue that banning firearms is the only option.,True
veterans,New York's VA has no system for veterans to receive food and medicine,True
trade,The US exports products to Venezuela,False
education,"According to the report, the top ten most disadvantaged schools in the country were schools in San Diego, San Francisco, Portland and Boston",False
foreign-policy,The Iraqi president said he was considering withdrawing from Iraq.,False
taxes,The federal government has already imposed new taxes on cigarettes.,True
economy,The country has one in every five jobs lost.,False
climate-change,The US State Department s new climate policy allows the government to use energy and water resources to reduce carbon emissions .,True
economy,Newly-appointed IMF head Christine Lagarde on Monday said her country will have a deficit of 2.2 trillion dollars in 2013.,False
health-care,The Obama administration has put a halt to all payments to private insurers unless the bill includes a negotiated payment.,True
jobs,Obama to reshuffle cabinet and job creators,False
education,he says his students were tested on the knowledge of history.,True
taxes,Tax bill contains no provision for the child credit program,False
taxes,The bill is to be voted on by the full House of Representatives before going to the Senate for a full vote.,True
welfare,"Welfare rolls have risen in most states, but in California a new law tries to balance the system.",True
welfare,Welfare cuts have increased in the United States,False
crime,nyc crime is down,True
transportation,"US transport has over 75,000 huddling under cover of night :",True
military,Afghanistan: U.S. military has no military in Afghanistan,False
budget,The govt canceled the proposal,True
climate-change,a scientist says world leaders need to act quickly to prevent climate change .,True
budget,Budget changes to the health care system will cut up to $27 billion,True
elections,"The elections were held August 21, 2005.",True
jobs,A lot of jobs will go to black folks,False
veterans,The veteran's program is the largest in the country.,True
veterans,Several veterans have been charged with crimes that were never committed by their fathers.,False
energy,"""Hong Kong to build a nuclear power plant""",False
jobs,"The government has announced a plan to cut 600,000 jobs in six months.",False
transportation,It takes 40 minutes to drive at speed up a highway.,False
crime,"CNN news program focuses on how ""six weeks"" in a homicide case can change someone's life.",False
crime,The UK has cut its police force by over a third.,True
veterans,They are less likely to be incarcerated or able to join the military.,True
homeland-security,Homeland Security personnel warned of threats to public safety.,True
veterans,Veterans are given the biggest support from this sector,True
gun-control,A gunman's bullet killed a man and a woman in a Connecticut town,False
climate-change,India has reduced its use of coal to .,True
environment,rogue apex predators killed more than 100 people in the united states,True
energy,Obama said that he wants nuclear power to be a priority in a speech that he gave to New Jersey governor Chris Christie.,False
foreign-policy,london : us prime minister calls for new aid cuts,True
climate-change,The report also said that the US and Australia will try to get countries to reduce their reliance on fossil fuels.,False
welfare,Thousands of people have signed petitions criticizing welfare programs.,False
education,The US needs a change in teaching strategies.,False
elections,Polled the latest polling numbers for voters to head to their polling places in the US,False
transportation,The Transportation Security Administration is investigating a 'carrying capacity gap' in the DOT's emergency response for the next five years.,False
gun-control,The NRA has called for an end of government-enforced gun control.,True
veterans,Veteran benefits are now being increased,True
climate-change,the UN has promised action on climate change,True
trade,Trade is the key to the success of the United States.,True
health-care,Barack Obama is the only presidential candidate to reject the use of insurance to cover medical costs.,False
energy,The UN says it has found a way to curb environmental degradation,True
budget,Budget changes lead to a rise in the number of federal employees.,True
foreign-policy,Israel's foreign policy is not the same as the U.S.,True
elections,U.S. presidential vote is one of few key elections which can be fully counted without human intervention.,True
budget,The arithmetic on the Australian budget tabled by the federal parliament today shows that the budget deficit is bigger at 4.5 billion dollars.,True
welfare,Welfare recipients with unplanned pregnancies are likely to get the maximum cash benefit.,False
homeland-security,New technology is needed to do a better job,True
economy,The economy is in a recession and the stock market sank.,False
trade,India and Pakistan have signed a deal to lift trade barriers.,False
environment,Environmentalists at the National Zoo are worried about a possible leak in its koi tank.,True
taxes,"The deficit has been falling, while the deficit has been increasing",False
military,"A former soldier is being held on $500,000 bond for allegedly killing his boss.",True
climate-change,"Currently, no country has banned fossil fuel industries",True
gun-control,"In the wake of the Florida shootings, Democrats have urged gun control legislation.",False
climate-change,The polar bears made a claim from a UN envoy,False
elections,President Obama has made the issue of foreign investors a top priority.,False
economy,New trade deal to be signed with Canada,True
education,"According to The Associated Press's sources, this education bill has also raised tuition fees",False
health-care,Obama's plan includes a tax cut for the wealthy.,True
energy,China has been in the forefront of efforts to produce renewable energy,True
budget,US and Canada to cut funding to budget,True
trade,He made a deal with the government to create trade in New Zealand,True
crime,Police said a child was found dead in a ditch.,False
climate-change,the first major report in nineteen months says that a global average temperature will remain at above 14 degrees Celsius for the next century .,False
economy,Britains economy minister warns of recession,True
homeland-security,Homeland-security chief warns of terrorist attacks,True
military,Soldiers make homecoming parade,True
economy,The UK was unable to agree over which nations should get the best deals to keep their economies strong.,False
education,The University of North Carolina voted to leave the University,True
military,No military service is needed,True
crime,he has since turned himself in to police,True
education,The average age for an adult is now 65 years old.,False
energy,the US economy will not shrink this year,False
gun-control,Barack Obama signed a bill at gun-control rally,False
climate-change,: There are millions of people who live on earth who can't breathe because of global warming.,False
elections,The election results were released.,True
foreign-policy,Iraq 's foreign policy and action rely on the Taliban,False
homeland-security,The armed terrorists targeted the town of Baghdad.,False
elections,The New York primary consists of a single round of voting.,True
education,The government allegedly allows only private schools to offer higher education in the US,False
budget,iraq to receive budget aid,True
budget,Budget to cover national health service,True
taxes,The GOP says it wants to raise revenues by raising taxes,True
taxes,There exists a tax-free investment account .,True
education,The U.S.'s most populous country will lose 1 million jobs.,False
taxes,An upcoming tax cut is intended to entice business to invest that would traditionally have been levied on the unemployed.,True
elections,Barack Obama won the election for President of the United States,False
foreign-policy,"""The only reason the Arab world has taken the step that it has was the belief that the US was a friend and that the world would be better off with him in power.""",True
crime,President George W. Bush announced yesterday that he is considering ending the US support for Iraq.,False
climate-change,The number of people in the United States who consider climate change to be a fact has decreased,True
jobs,Obama says jobs are not a problem,True
health-care,People have decided to leave the federal Affordable Care Act by a margin of up to 18 percent .,True
homeland-security,Bush announced the creation of a new US homeland-security task force.,True
education,Education minister praises British education system,True
economy,US and China trade goods,False
taxes,By enacting the Affordable Care Act,True
foreign-policy,President Obama urged Iraq to withdraw from Kuwait,False
taxes,Taxes are lowered by 30 per cent,False
welfare,The bill would reduce welfare payments to those who work and contribute to charity.,True
education,The New York Times quotes someone as saying that we need to do more to help children with social problems.,False
health-care,President Obama has proposed the elimination of the exchanges arguing that the federal government should not override congress to save money.,False
transportation,This is the first time that the train travels on the London Underground.,True
jobs,The number of total jobs in the United States has fallen.,False
trade,trade is good for countries,False
immigration,Immigration reform is not happening,True
welfare,welfare is not available to some people,True
health-care,President Clinton claims Republican health-care proposals are not good,False
education,Teachers must be taught syllabic English,True
budget,A bill to keep the U.S. government open stretches 116 pages,False
trade,The World Trade Organization estimates that total trade worldwide jumped by 59 percent in 2002.,False
elections,The US Senate confirmed the report that Donald Trump was running for president.,False
budget,- The United States will be forced to cut its budget spending if the economy falls into recession,False
crime,The United States has been accused of failing to tackle terrorism from the air.,False
veterans,Veterans in the U.S. have lost their jobs due to government smuggling,False
welfare,"During the week of the Republican National Convention, there was a poll showing Republican candidates as the favorite to win the Presidency of the United States.",False
crime,u.s. Supreme court to consider new law on death penalty,True
gun-control,The government will consider a federal law banning certain types of guns.,False
taxes,The tax reform bill includes a provision that allows Congress to raise taxes on corporations for purposes of the act.,True
foreign-policy,Israeli forces kill 10 Palestinian security personnel in Gaza,True
taxes,"Congress has approved a bill that would make it easier to file, especially for those living in rural areas.",False
welfare,The government has announced that it will not pay for private health insurance coverage for anyone who wants to get treatment.,False
environment,Some of the land where the trees grow is sold and used to make fuel for the motor vehicles of that country.,True
taxes,There is no tax on international philanthropy.,True
trade,The U.S. has been the world leader in trading goods for goods.,False
education,Many educators support letting private companies manage public education.,True
budget,Budget cuts could hit small business,True
energy,"A new energy company in the United States is launching a new service, marketed as ""Renewable Electric Energy Storage"".",True
climate-change,The federal government has signed an agreement with Kyoto .,False
gun-control,Many firearms are being stolen,True
veterans,An Act to Protect Veterans With Services,True
crime,fbi has admitted to allowing rapists to skip the bail hearing,True
transportation,Transport in the US will be heavily privatised.,False
budget,Democrats are in favour of tax cuts for the rich.,False
homeland-security,iran voted in favor of nuclear sanctions,True
jobs,"In 2009, many Americans felt that the economy was too weak to create jobs.",False
taxes,obama won't make tax reform happen,True
taxes,"According to a new report, in 2002, taxes to go up under Trump, reversing a change that went into effect in 2001.",False
energy,Australia has launched a plan for new nuclear power stations,False
environment,"In the summer of 2009 , the global population grew by 7.4 billion, or 14%, and there were about 4 billion equine deaths globally .",True
crime,The senate voted unanimously to raise the minimum sentence for murder to death from ten to life.,True
economy,The world's three largest economies all reported record-setting growth in the second quarter.,True
foreign-policy,No wars took place in North Korea.,False
immigration,immigration is not allowed in venezuela,True
environment,Russia 's enviroment is threatened by climate change,True
immigration,"This week, the government is set to launch a programme called the US, Canada, and Latin America (USCLA).",False
homeland-security,Obama vows to cut spending on homeland security,True
environment,Obama announces the creation of the first national park on the olympics floor.,True
energy,The OECD released a study on energy storage.,False
taxes,The government has a responsibility to provide a balance sheet in order to assess the federal and provincial tax burden for individual taxpayers.,True
environment,An environmental group warned that the number of environmental laws is expected to increase.,True
jobs,The federal government has cut a million jobs.,False
health-care,Democrats and Republicans say health care is a concern,True
elections,Congress members have the power to make their own laws.,False
foreign-policy,Russia has poured nearly $30 billion in gas into the country to help it maintain a status as a major oil producer.,True
economy,A new report finds that the price of oil has fallen.,False
veterans,"The bill would establish a statewide initiative to increase benefits for veterans, but does not include any specific benefit for veterans.",True
transportation,The train and bus will be able to access the mainland.,False
budget,"President Trump to approve a budget that slashes taxes and spending, will not include deficit reduction",False
energy,Obama promises to increase spending on renewable energy,False
gun-control,Republicans want to repeal ObamaCare,False
military,UN Secretary General Ban Ki-moon was murdered by an extremist,False
economy,US exports the most goods compared to imports.,False
taxes,"In the end, no one will have to pay tax on capital gains or dividends.",False
crime,The FBI has issued a statement urging people who committed crimes in the recent year to report them.,False
gun-control,The US Senate voted unanimously to increase restrictions on gun ownership.,False
jobs,"""Los Angeles Times - 09/02/09""",True
welfare,"Thousands of migrants are not working, because of the welfare reforms",False
economy,Europe has been struggling to increase its exports to the U.S.,False
gun-control,America has lost its ability to regulate guns,False
budget,The deficit is down 3.0 percent and the unemployment rate has fallen,True
foreign-policy,US envoy met with Israeli diplomats,False
transportation,The car was redesigned and repainted to improve both traffic and safety.,True
gun-control,Many in the US believe that gun control has killed thousands of gun buyers during the last two years.,False
budget,The federal government has a massive deficit,True
economy,Britain 's first central bank governor will be christened Paul Reeves after Brexit,False
transportation,The AP picked the rerun to cite a rumor that the show will go off.,False
education,US parents fear kids will be out-of-school and looking for work.,False
elections,a new poll reveals the UK's future cpc leader,True
foreign-policy,"No, she is not involved in this decision",True
trade,A tariff increases trade within the EU by a quarter from June .,True
education,Students don't need to spend a lot of time on math,False
welfare,"President Obama says ""we are going to work together to help the most needy in our society.""",False
immigration,immigration and euthanasia: new challenges,True
climate-change,"According to the latest UN climate change report, the world is experiencing the greatest temperature de-stabilization in the last century with sea levels rising and the Arctic Ice Sheet shrinking .",True
homeland-security,Barack Obama said the war on terror was worth millions of lives lost.,False
climate-change,He said that we must all do more to cut greenhouse gas emissions,True
gun-control,If you want to be safe out there you must carry a firearm.,True
homeland-security,The government warned the U.S. about a possible threat by the country's newest rebels,True
jobs,US unemployment rate has been unable to rise.,False
gun-control,Gun control legislation passed by the U.S. Senate last week.,True
transportation,New trains and buses are needed to connect the major cities,False
elections,Russia voted in a dilatory vote in the U.S. presidential election.,False
crime,The government said robberies have risen.,False
homeland-security,U.S. government considers new anti-terrorism law in favor of foreign-policy goals,True
gun-control,"Gun owner says she wants to ""switch guns""",False
elections,At least 10 of the countries have the same number of female MPs.,True
taxes,Obama has said he supports a new corporate tax.,False
jobs,President Obama gave a free ear to job creation.,False
welfare,"Welfare was a """"progressive"""" program",False
foreign-policy,Iraq plans to leave Kuwait if peace talks fail,False
budget,A billion dollars will be allocated to the National Museum of the American Indian.,False
taxes,He is said to be a hardball tax collector.,True
education,The U.S. Education Secretary says public schools are failing students.,False
education,There was no debate on allowing the government to charge for school,False
welfare,The new Republican Party leader said welfare recipients should be able to keep their children.,False
energy,if new technology reaches a point where it can be widely used and is able to meet demand it can replace coal in power generation.,True
elections,"More than 100 politicians, union leaders, businessmen and women have been arrested in the US for voting illegally.",True
veterans,"Many veterans do not receive benefits, according to a new study.",False
jobs,Obama administration plans job cuts,False
jobs,The new employment law is also expected to stoke the city's economy.,True
gun-control,"I had the opportunity to talk to him in a private setting , and was surprised to find him to be enthusiastically enthusiastic",True
economy,The U.S. Economy in 2013 was .,True
trade,"Obama said Monday there would be a trade deficit of $2.18 trillion by 2030, the latest toll on the U.S. trade deficit.",False
gun-control,Gun laws allow no changes to gun laws.,False
veterans,The vets were among the group of unemployed people arrested.,True
foreign-policy,There is no way to keep the Iraqi army from using chemical weapons.,False
jobs,The number of ret-surveys completed on the federal level is much lower.,True
military,The US and UK stepped up surveillance of the Syrian military.,True
climate-change,People died after exposure to climate change.,True
climate-change,The United Nations has not ruled out a future UN climate summit .,True
budget,Budget urged to tighten policy around asylum.,True
energy,"A spokesman for the state of New York's Department of Energy said a federal law that prevents local and state utilities from imposing the minimum rate, was the cause of most of the high energy prices across the region.",False
health-care,"The bill sought to impose an ""insurance penalty"" on health insurers who did not extend coverage.",False
energy,China is now the biggest energy consumer.,False
jobs,"It's true that there are over 1200 unemployed, but this is from the unemployment rate of only 5.8 percent.",False
crime,armed men set fire to a car as police chase,True
climate-change,The global mean temperature is expected to rise 0.5 degrees centigrade by the mid 20th century.,True
trade,The US says it will impose new trade tariffs on imports of Chinese beef from Vietnam.,False
health-care,"We could see a large rise in cost with more competition , and less control .",False
jobs,President Obama signs bill giving $1.5 trillion to the economy,False
immigration,"-Reports of immigration from Russia were untrue , but a survey found the number of cases in the area was higher than %14 .",True
economy,The euro is rated at a record 1.24 yen.,False
trade,Obama is a strong supporter of Free Trade Agreement.,False
immigration,US Immigration and Customs Enforcement has given the green light to a new round of offshore detention.,False
welfare,Democrats oppose a bill to eliminate welfare.,False
homeland-security,"Security expert says no one ""is immune"" from threats.",False
climate-change,Russia had taken a leading part in climate-change skepticism.,False
jobs,The Department of Labor formally released the results of the jobless claims for January.,True
crime,A criminal suspect commits a murder,True
veterans,World War II veterans' rights are more than just a myth,True
veterans,A new report from the U.S. Administration on Veterans Affairs found that the number of military veterans declined by 4.4 million between 2013 and 2017,False
trade,New Zealand's Liberal government wants to increase the country's trade surplus.,True
economy,eu has begun the process of reducing carbon dioxide,True
